Site,Identitas Campaign,Nama Campaign,Id Transaksi,Tipe Konsumen,Status,Waktu Klik,Waktu Konversi,Waktu Konfirmasi,Category ID,Product ID,Harga/unit,Jumlah,Harga Total,Jumlah Komisi,Id Konversi,Creative ID,SessionID,Status Postback,Hitungan Error Postback,Waktu Postback,URL Postback,Alamat IP,Negara,Kota,Agen Pengguna,Tipe Peraga,Merek Peraga,Browser,Bahasa,Domain Rujukan,URL Rujukan,utm_source,utm_medium,utm_content,utm_campaign,utm_term,target_age,target_gender,target_interest,target_marital_status,target_parental_status,target_education,target_employment,target_life_event,target_homeownership,target_income,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,opt_7,opt_8,opt_9,opt_10,aff_sub,aff_sub2,aff_sub3
garybu0801,966,Shopee ID NON KOL,209149159281609,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-17 23:59:00,--,Mobil,2508184AW9C8B7_p-i.478092324.11554518838_120890364322_Poles+Coating+%26+Sealant+Mobil,3650.0,1,3650.0,51.00,194755127,108007,--,NOT_NEEDED,0,2025-08-18 21:00:38,https://bytec-postback-agent-472712465571.asia-southeast1.run.app/involve/event?usd_sale_amount=3650&conversion_id=30&aff_sub=unknown&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&usd_payout=51&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-17T23%3A59,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,2755449948106560092,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-17 23:59:00,--,Digital Nol,2755449948106560092_p-i.172223406.156698_0_Pendidikan,1315046.0,1,1315046.0,0.00,194755136,108007,--,NOT_NEEDED,0,2025-08-18 21:20:08,https://bytec-postback-agent-472712465571.asia-southeast1.run.app/involve/event?usd_sale_amount=1315046&conversion_id=30&aff_sub=unknown&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&usd_payout=0&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-17T23%3A59,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209149148224192,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-17 23:59:00,--,Buku & Alat Tulis,2508184AVXTQ4B_p-i.406181457.22722739550_185619085506_Tali+%26+Selotip,13400.0,1,13400.0,188.00,194755137,108007,--,NOT_NEEDED,0,2025-08-18 21:24:33,https://bytec-postback-agent-472712465571.asia-southeast1.run.app/involve/event?usd_sale_amount=13400&conversion_id=30&aff_sub=unknown&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&usd_payout=188&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-17T23%3A59,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209149148224192,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-17 23:59:00,--,Buku & Alat Tulis,2508184AVXTQ4B_p-i.406181457.22722739550_260187995884_Tali+%26+Selotip,7750.0,1,7750.0,109.00,194755138,108007,--,NOT_NEEDED,0,2025-08-18 21:24:38,https://bytec-postback-agent-472712465571.asia-southeast1.run.app/involve/event?usd_sale_amount=7750&conversion_id=30&aff_sub=unknown&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&usd_payout=109&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-17T23%3A59,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209149127267689,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-17 23:58:00,--,Handphone & Aksesoris,2508184AVATW40_p-i.1265296236.27706930854_168339634058_Casing+%26+Skin,63000.0,1,63000.0,882.00,194755158,108007,--,NOT_NEEDED,0,2025-08-18 20:51:56,https://bytec-postback-agent-472712465571.asia-southeast1.run.app/involve/event?usd_sale_amount=63000&conversion_id=30&aff_sub=unknown&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&usd_payout=882&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-17T23%3A58,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209149129209456,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-17 23:58:00,--,Perlengkapan Rumah,2508184AVCP51S_p-i.126466013.22942522894_235212147079_Box+Tas+%26+Keranjang+Penyimpanan,0.0,1,0.0,0.00,194755161,108007,--,NOT_NEEDED,0,2025-08-18 21:27:26,https://bytec-postback-agent-472712465571.asia-southeast1.run.app/involve/event?usd_sale_amount=0&conversion_id=30&aff_sub=unknown&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&usd_payout=0&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-17T23%3A58,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209149129209456,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-17 23:58:00,--,Perlengkapan Rumah,2508184AVCP51S_p-i.126466013.29980501492_237557125934_Perkakas,0.0,1,0.0,0.00,194755162,108007,--,NOT_NEEDED,0,2025-08-18 21:26:08,https://bytec-postback-agent-472712465571.asia-southeast1.run.app/involve/event?usd_sale_amount=0&conversion_id=30&aff_sub=unknown&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&usd_payout=0&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-17T23%3A58,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209149127220099,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-17 23:58:00,--,Perlengkapan Rumah,2508184AVASRAP_p-i.159933310.10242676470_233048045875_Tisu+%26+Tisu+Kertas,51003.0,1,51003.0,714.00,194755166,108007,--,NOT_NEEDED,0,2025-08-18 21:26:00,https://bytec-postback-agent-472712465571.asia-southeast1.run.app/involve/event?usd_sale_amount=51003&conversion_id=30&aff_sub=unknown&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&usd_payout=714&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-17T23%3A58,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209149127220099,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-17 23:58:00,--,Makanan & Minuman,2508184AVASRAQ_p-i.1522360980.27133875598_258213361940_Sayuran,69613.0,1,69613.0,975.00,194755165,108007,--,NOT_NEEDED,0,2025-08-18 20:47:49,https://bytec-postback-agent-472712465571.asia-southeast1.run.app/involve/event?usd_sale_amount=69613&conversion_id=30&aff_sub=unknown&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&usd_payout=975&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-17T23%3A58,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209149098244476,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-17 23:58:00,--,Kesehatan,2508184AUF5BKG_p-i.30523804.3338999364_195416520861_Perawatan+Mulut,9999.0,1,9999.0,140.00,194755177,108007,--,NOT_NEEDED,0,2025-08-18 20:56:21,https://bytec-postback-agent-472712465571.asia-southeast1.run.app/involve/event?usd_sale_amount=9999&conversion_id=30&aff_sub=unknown&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&usd_payout=140&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-17T23%3A58,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209149083261253,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-17 23:58:00,--,Perlengkapan Rumah,2508184AU0V2GQ_p-i.1200541837.25968974070_194970636828_Tali+Jemuran+%26+Rak+Pengering,442980.0,1,442980.0,6202.00,194755182,108007,--,NOT_NEEDED,0,2025-08-18 21:27:56,https://bytec-postback-agent-472712465571.asia-southeast1.run.app/involve/event?usd_sale_amount=442980&conversion_id=30&aff_sub=unknown&usd_payout=6202&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-17T23%3A58,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
