"Conversion ID","Click Date","Conversion Date","Recorded On",Advertiser,"Campaign Name","Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks,"Publisher Sub ID 2","Publisher Sub ID 3","Publisher Sub ID 4","Advertiser Sub ID 2","Advertiser Sub ID 3","Advertiser Sub ID 4","Advertiser Sub ID 5"
550830848,,"2025-08-15 01:46:20","2025-08-15 03:17:33","TikTok Shop MY - CPS",-,579997899360470100,2.37,0.13,OEM3_OPPO_PUSH,Pending,,,,,1729460699099989914,"PERFUME THAI WANGI NK MAMPOIH",1729460699099924378,"Dyla Darnieyla Shoppe"
551229440,,"2025-08-15 14:34:30","2025-08-15 16:22:11","TikTok Shop MY - CPS",-,580002911321228417,3.59,0.11,OEM3_OPPO_PUSH,Pending,,,,,1731776053694530960,"Jaket Kasual Wanita, Gaya Korea, Koleksi Musim Bunga dan Musim Luruh Terkini, Gaya Sastera, Depan Pendek, Belakang Panjang, Baju, Berjalur Menegak Setengah Panjang",1731776053694137744,"Taste clothing"
551231488,,"2025-08-15 14:13:26","2025-08-15 16:24:21","TikTok Shop MY - CPS",-,580002699563665217,0.48,0.02,OEM2_VIVO_PUSH,Pending,,,,,1731835232001689308,"Topi Matahari, Musim Panas, untuk Lelaki, Sesuai untuk Memancing, Aktiviti Luar dan Mendaki, Pelindung Muka dan Leher, Brim Lebar, Perlindungan Matahari Baharu Outdoor Sports",1731835232001492700,Huyungongyiping
551233280,,"2025-08-15 13:51:31","2025-08-15 16:25:57","TikTok Shop MY - CPS",-,580002453415626296,5.95,0.13,OEM3_OPPO_PUSH,Pending,,,,,1729716325373019949,"Pad Tetikus, Rekaan Jahitan Kartun, Lebih Besar dan Tebal, Sesuai untuk Komputer dan Papan Kekunci, Tikar Meja untuk Kanak-kanak, Perempuan dan Dewasa, Tikar Getah Meja Comel, Sesuai untuk Menulis Meja Pelajar, EFY",1729716325371840301,ComfyCasa
551365632,,"2025-08-15 21:17:33","2025-08-16 02:36:10","TikTok Shop ID - CPS",-,580007073919370745,3.40,0.07,OEM3_OPPO_PUSH,Pending,,,,,1731964824324310686,"FreshCare Vapobalm Matcha",1731964579402516126,"Ultra Sakti Store"
551234816,,"2025-08-15 13:35:02","2025-08-15 16:27:16","TikTok Shop MY - CPS",-,580002320642835778,4.57,0.03,OEM2_VIVO_PUSH,Pending,,,,,1732206482399921356,"Pembesar Suara Menegak Aura, Jualan Panas, Mudah Alih, dengan Cahaya Suasana, Pembesar Suara Bluetooth Pelbagai Fungsi, Boleh Diputar dan Boleh Dilipat, Pengecas Audio, Bateri 3000mAh Speaker Wireless",1732206482399790284,"3C WOW Outlet"
551366400,,"2025-08-15 23:42:00","2025-08-16 02:44:27","TikTok Shop MY - CPS",-,580008746524509745,0.66,0.00,OEM3_OPPO_PUSH,Pending,,,,,1729556096081626383,"VASEINA LIP THEROPY for lips",1729556096081560847,"KL Cosmetic"
551302144,,"2025-08-15 18:44:55","2025-08-15 21:24:23","TikTok Shop ID - CPS",-,580005428813530863,1.54,0.03,OEM3_OPPO_PUSH,Pending,,,,,1730919039532172494,"ROK BATIK PLISKET MOTIF LARAS / BAWAHAN KEBAYA JUMBO / ROK PESTA KONDANGAN / ROK WISUDA / ROK MODERN",1730919041726776526,"AURORA STORE…"
551236864,,"2025-08-15 13:17:33","2025-08-15 16:28:42","TikTok Shop MY - CPS",-,580002101378451074,3.73,0.06,OEM2_VIVO_PUSH,Pending,,,,,1732200626541528067,"ELGINI E16212 Baju-T Kapas Lengan Panjang S-XXL | Long Sleeve Plain Cotton Tee",1729519365829592067,"ELGINI MALAYSIA"
551302912,,"2025-08-15 18:15:40","2025-08-15 21:26:00","TikTok Shop ID - CPS",-,580005150186964647,4.33,0.19,OEM3_OPPO_PUSH,Pending,,,,,1730819235384231240,"Celana Pendek Pdl Cargo Pria Bahan Catton melar Slimfit Katun Nyaman Tebal",1730819246886520136,ABS.CO
