"Conversion ID","Click Date","Conversion Date","Recorded On",Advertiser,"Campaign Name","Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks,"Publisher Sub ID 2","Publisher Sub ID 3","Publisher Sub ID 4","Advertiser Sub ID 2","Advertiser Sub ID 3","Advertiser Sub ID 4","Advertiser Sub ID 5"
553387008,,"2025-08-19 13:49:32","2025-08-19 16:10:38","TikTok Shop MY - CPS",-,580049774098810689,1.37,0.02,OEM2_VIVO_PUSH,Pending,,,,,1729714362972014269,"KQH Baju Budak T Shirt 6M-4Y Set, Baju Baby Boy Girl, 100% Cotton, Sesuai Untuk Tidur & Bermain, Ready Stock Di Malaysia LC2",1729714343505594045,"KQH Sdn. Bhd."
553518080,,"2025-08-19 16:04:58","2025-08-20 03:46:13","TikTok Shop MY - CPS",-,580051207336723973,1.87,0.03,OEM3_OPPO_PUSH,Pending,,,,,1729516969281225970,"(80Pcs) kereta tisu basah Car Seat Leather Cleaning Maintenance Wipes Car Seats Automotive Interior Kereta",1729516969281160434,"JF Tissue88"
553389568,,"2025-08-19 13:22:13","2025-08-19 16:14:31","TikTok Shop MY - CPS",-,580049428506380127,11.23,0.43,OEM2_VIVO_PUSH,Pending,,,,,1731594515126388181,"Elianware 2/3/4 Layer Tier Microwaveable [BPA FREE] Square Tiffin Food Carrier Lunch Box with Cariolier",1729426790807865813,elianware_malaysia
553399808,,"2025-08-19 11:29:13","2025-08-19 16:23:23","TikTok Shop MY - CPS",-,580048149760607714,0.80,0.02,OEM3_OPPO_PUSH,Pending,,,,,1729611194497337830,"Reusable 8D Aquairum Filter Sponge Fish Tank Filter Media Sponge Aquarium Accessories 8 Layer",1729611194497206758,"SE - Succulent Eater"
553401600,,"2025-08-19 11:10:56","2025-08-19 16:24:43","TikTok Shop MY - CPS",-,580047971910845799,3.01,0.16,OEM3_OPPO_PUSH,Pending,,,,,1732202622717232592,"Lampu Tayangan Bintang, dengan Alat Kawalan Jauh, 7 Warna, Dikuasakan USB, Sesuai untuk Hiasan Bilik Tidur dan Lampu Malam",1732202622717167056,"GK Malaysia Store 2"
553404160,,"2025-08-19 10:46:15","2025-08-19 16:26:29","TikTok Shop MY - CPS",-,580047694614791222,2.44,0.03,OEM3_OPPO_PUSH,Pending,,,,,1731712130785510696,"650ML Sanrio Water Bottle With Straw & Strap Portable Travel BPA FREE Dual Straw & Sip Lids Kids Bottle 246820 Kitchenware",1731712186712360232,GKUGadgetstore
553404416,,"2025-08-19 10:45:18","2025-08-19 16:26:42","TikTok Shop MY - CPS",-,580047661754255184,0.85,0.04,OEM3_OPPO_PUSH,Pending,,,,,1731500237642499467,"Stainless Steel Door Stop Magnetic Door Stopper Holder Anti Collision Windproof Doorstop Sedutan pintu tebuk bebas",1731500237642433931,"LY HomeLiving"
553410816,,"2025-08-19 09:42:45","2025-08-19 16:30:43","TikTok Shop MY - CPS",-,580047042444231879,0.88,0.03,OEM3_OPPO_PUSH,Pending,,,,,1729555455767185043,"PREMIUM COTTON PILLOW CASE / SARUNG BANTAL CADAR / SARUNG BANTAL TIDUR / BEDSHEET PILLOW CASE / PILLOW COVER Bedding Bedsheets",1729458855076267667,Easyonline
553411584,,"2025-08-19 09:34:50","2025-08-19 16:31:15","TikTok Shop MY - CPS",-,580046959722465250,0.83,0.02,OEM3_OPPO_PUSH,Pending,,,,,1729522857295971736,"Water based Strong Hold Pomade 113g Hair wax ️Ready Stock",1729522857295840664,TuanFashionHub
553414400,,"2025-08-19 09:02:41","2025-08-19 16:33:07","TikTok Shop MY - CPS",-,580046703902885573,4.74,0.10,OEM3_OPPO_PUSH,Pending,,,,,1731993251163178572,"Mainan Bola Keranjang Dalaman untuk Kanak-kanak, Jenis Gantung Dipasang di Dinding, Tiada Lubang, Sesuai untuk Kanak-kanak Lelaki dan Perempuan, Kegunaan Rumah.",1731993251163047500,"Childlike Joy Baby my"
