"Conversion ID","Conversion Date","Recorded On",Advertiser,"Campaign Name","Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks,"Publisher Sub ID 2","Publisher Sub ID 3","Publisher Sub ID 4","Publisher Sub ID 5","Advertiser Sub ID 2","Advertiser Sub ID 3","Advertiser Sub ID 4","Advertiser Sub ID 5"
553507075,"2025-08-19 23:59:45","2025-08-20 03:21:00","TikTok Shop MY - CPS",-,580056567648651196,3.58,0.13,OEM3_OPPO_PUSH,Pending,,,,,,1731445758501160427,"Ubat Gigi, Sp 10 Ultra, Nafas Segar, Beli 1 Dapat 2 Tawaran Percuma",1731250697813591531,"Beautiful YDUUU"
553488405,"2025-08-19 23:59:43","2025-08-20 02:34:57","TikTok Shop ID - CPS",-,580056559083685170,9.31,0.32,FTK,Pending,,TTS,ID,OPPO,PUSH_02,1730833072399026049,"Celana Jeans Pensil Pria Dewasa Beli 1 Gratis 1 dapat (2pcs)",1730833074483332993,"HAKA SF"
553507083,"2025-08-19 23:59:31","2025-08-20 03:21:01","TikTok Shop MY - CPS",-,580056532498744574,4.50,0.08,OEM2_VIVO_PUSH,Pending,,,,,,1729703138118895398,"BUCKET COOKIES BY SEKUT AYANA",1729703242624763686,sekutayanahq
553507086,"2025-08-19 23:59:23","2025-08-20 03:21:07","TikTok Shop MY - CPS",-,580056538123568469,4.95,0.17,OEM3_OPPO_PUSH,Pending,,,,,,1731815601403758091,"Set Seluar Dalam, 5-10 Pek, Warna Merah Jambu Berhabuk, Sesuai untuk Wanita Muda, Seluar Dalam Cantik, Gaya Jepun, Pakaian Harian",1731815601402775051,"HEILOU Shop"
553507089,"2025-08-19 23:59:14","2025-08-20 03:21:07","TikTok Shop MY - CPS",-,580056567672375017,0.00,0.00,OEM2_VIVO_PUSH,Pending,,,,,,1730350771012208304,"zipper hoodie lengan panjang kain cotton size s sampai xxl semua  ready stock",1730350811447133872,GMfastion
553507091,"2025-08-19 23:59:05","2025-08-20 03:21:08","TikTok Shop MY - CPS",-,580056566923495068,1.47,0.07,FTK,Pending,,TTS,MY,OPPO,PUSH,1732104571306804339,"LOOSE POWDER SASI POWDER 50g",1732104560594289779,"The N Studio"
553518571,"2025-08-19 23:58:42","2025-08-20 03:52:57","TikTok Shop TH (Deeplinkable) - CPS",-,580056537135678934,7.08,0.27,FTK,Pending,,TTS,TH,OPPO,PUSH_02,1731703818535340305,"ไซเรนพร้อมไมค์ ไซเรน พร้อมไมค์โครโฟน หวอ มีให้เลือก 12V และ 24V ลำโพง โทรโข่ง สำหรับรถบรรทุก รถยนต์ มอเตอร์ไซต์ลดราคาพิเศษ Car",1731703791102953745,"Phalaenopsis shop"
553507101,"2025-08-19 23:58:42","2025-08-20 03:21:09","TikTok Shop MY - CPS",-,580056544259573070,5.09,0.24,OEM2_VIVO_PUSH,Pending,,,,,,1732124177564599705,"Sarung Telefon Kaca Premium, Sesuai untuk Telefon Bimbit Vivo V21e, Sutera Hitam Kecerunan, dengan 26 Huruf, Mewah Tersirat, Kalis Kejutan dan Tahan Haus, Perlindungan Matahari, 48",1732124177563747737,M-Qiankecases
553518573,"2025-08-19 23:58:31","2025-08-20 03:52:57","TikTok Shop TH (Deeplinkable) - CPS",-,580056566111438760,1.82,0.06,FTK,Pending,,TTS,TH,OPPO,PUSH_02,1731558411660330871,"【NEW】Missnala ครีมอาบน้ำ ครีมอาบน้ำตัวหอม 1030ml. แถมฟรีใยขัดผิว เจลอาบน้ำ กลิ่นน้ำหอม กลิ่นติดทนยาวนาน สบุ่เหลว ล้างออกง่าย ชุ่มชื่น เจลอาบน้ำกลิ่นติดทน",1731555594587309943,Missnala
553488428,"2025-08-19 23:58:26","2025-08-20 02:34:59","TikTok Shop ID - CPS",-,580056531067307240,1.74,0.05,OEM3_OPPO_PUSH,Pending,,,,,,1731846054850168021,"Beauty Of Angel Lip Serum Untuk Perawatan Mencerahkan Bibir Hitam Kering Kecantikan 5ml Almond Oil BPOM vitamin cairan - Lip Serum",1731845908530365653,"Wonderfull Beauty Jakarta"
553507110,"2025-08-19 23:58:21","2025-08-20 03:21:09","TikTok Shop MY - CPS",-,580056509340091403,1.87,0.09,OEM2_VIVO_PUSH,Pending,,,,,,1732198697763309323,"B Japanese Wooden Knife Stainless Steel Chef's Knife Handheld Grill Knife for Cutting Steak Outdoor",1732198701753075467,"FREQUENCY Original"
553488437,"2025-08-19 23:58:07","2025-08-20 02:35:00","TikTok Shop ID - CPS",-,580056508500640839,1.20,0.00,RAMPUP,Pending,,,,,,1730781814022112837,"Hiqween Retinol Brigthening Soap - Facial Wash Sabun Cuci Muka Pemutih Penghilang Flek Hitam",1730781818596001349,Skinbeautee1
553507119,"2025-08-19 23:58:06","2025-08-20 03:21:09","TikTok Shop MY - CPS",-,580056544425837709,2.36,0.08,FTK,Pending,,TTS,MY,OPPO,PUSH,1729519071520262107,"Seluar Budak Seluar Panjang Sekolah Sukan Budak / Unisex Kid Pants / Kid Long Pant School Pants for Kids",1729519072577161179,"CK Mart Luxury"
553507118,"2025-08-19 23:58:06","2025-08-20 03:21:09","TikTok Shop MY - CPS",-,580056544425837709,2.36,0.08,FTK,Pending,,TTS,MY,OPPO,PUSH,1729519073884604379,"Seluar Budak Seluar Panjang Sekolah Sukan Budak / Unisex Kid Pants / Kid Long Pant School Pants for Kids",1729519072577161179,"CK Mart Luxury"
553488443,"2025-08-19 23:57:59","2025-08-20 02:35:00","TikTok Shop ID - CPS",-,580056543713330798,0.60,0.02,OEM3_OPPO_PUSH,Pending,,,,,,1729668573533013044,"Tempered Glass Kamera Untuk Iphone 15 Pro Max 15 Plus X XS XR XSMAX 11 11ProMax 12Mini 12 12ProMax 13 13ProMax 14 14Plus 14Pro 14ProMax Screen Protector Smartphone",1729668575528518708,"CASEFiT 3C Store"
553488442,"2025-08-19 23:57:59","2025-08-20 02:35:00","TikTok Shop ID - CPS",-,580056543713330798,0.89,0.05,OEM3_OPPO_PUSH,Pending,,,,,,1731822869635105844,"AG Frosted Magnetic Phone Case for iPhone 16 Pro Max 11 12 13 14 15 Pro Max 14 15 Pro Clear Ultra Thin Cover",1731822837994128436,"CASEFiT 3C Store"
553488441,"2025-08-19 23:57:59","2025-08-20 02:35:00","TikTok Shop ID - CPS",-,580056543713330798,0.85,0.04,OEM3_OPPO_PUSH,Pending,,,,,,1731823018066019380,"Lightweight Clear Crystal Magnetic Phone Case for IPhone 16 Pro Max 11 12 13 14 15 Pro Max Transparent Casing Ultra Thin Shockproof Cover",1731822982456706100,"CASEFiT 3C Store"
553488440,"2025-08-19 23:57:59","2025-08-20 02:35:00","TikTok Shop ID - CPS",-,580056543713330798,0.15,0.00,OEM3_OPPO_PUSH,Pending,,,,,,1729723110620562484,"2pcs Phone Holder Kursi Macaron Folding Chair Stand Holder Phone Universal Holder Stand HP Varian Kursi Lipat Dudukan Penyangga HP Dekorasi",1729723095957537844,"CASEFiT 3C Store"
