"Conversion ID","Click Date","Conversion Date","Recorded On",Advertiser,"Campaign Name","Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks,"Publisher Sub ID 2","Publisher Sub ID 3","Publisher Sub ID 4","Advertiser Sub ID 2","Advertiser Sub ID 3","Advertiser Sub ID 4","Advertiser Sub ID 5"
554114201,"2025-08-20 22:24:05","2025-08-20 22:27:55","2025-08-21 09:52:38","Shopee PH - CPS",-,"209399275204254 | 250820BKUAG7VG",3.50,0.04,MP,Pending,,,68a5da843d9854d97a90e7d0,,"BUY 1 TAKE 1 HIKARI TONER 60ML",Beauty,"EXISTING | APP","285118999 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
554112090,"2025-08-20 22:06:06","2025-08-20 23:00:29","2025-08-21 09:51:02","Shopee PH - CPS",-,"209401229273970 | 250820BNNJ1N2M",1.59,0.02,MP,Pending,,,68a5d64d85c0282ba6ff37e9,,"Best-Selling Quartz Watch for Women - Stylish Retro Korean Minimalist Small Round Timepiece with Elegant Charm",Watches,"EXISTING | APP","196214868 | PREFERRED_CB | ORDERED_IN_DIFFERENT_SHOP"
554114560,"2025-08-20 20:29:10","2025-08-20 22:23:12","2025-08-21 09:52:57","Shopee PH - CPS",-,"209398992231166 | 250820BKJVMU8V",0.58,0.01,MP,Pending,,,68a5bf96f308d1e9f0012469,,"Cheapest Shredded Paper | Colorful Paper Gift Packaging | Paper Fillers Crinkled  20/100 grams",Stationery,"EXISTING | APP","49844600 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
554114562,"2025-08-20 20:29:10","2025-08-20 22:23:12","2025-08-21 09:52:57","Shopee PH - CPS",-,"209398992231166 | 250820BKJVMU8V",1.07,0.01,MP,Pending,,,68a5bf96f308d1e9f0012469,,"Cheapest Shredded Paper | Colorful Paper Gift Packaging | Paper Fillers Crinkled  20/100 grams",Stationery,"EXISTING | APP","49844600 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
554114565,"2025-08-20 20:29:10","2025-08-20 22:23:12","2025-08-21 09:52:57","Shopee PH - CPS",-,"209398992231166 | 250820BKJVMU8V",1.98,0.02,MP,Pending,,,68a5bf96f308d1e9f0012469,,"QJOQ.ph |5PCS  FULL COLORED High-end Carton Corrugated Cardboard Box Packaging Kraft",Stationery,"EXISTING | APP","49844600 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
554114568,"2025-08-20 20:29:10","2025-08-20 22:23:12","2025-08-21 09:52:57","Shopee PH - CPS",-,"209398992231166 | 250820BKJVMU8V",3.97,0.05,MP,Pending,,,68a5bf96f308d1e9f0012469,,"QJOQ.ph |5PCS  FULL COLORED High-end Carton Corrugated Cardboard Box Packaging Kraft",Stationery,"EXISTING | APP","49844600 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
554114570,"2025-08-20 20:29:10","2025-08-20 22:23:12","2025-08-21 09:52:57","Shopee PH - CPS",-,"209398992231166 | 250820BKJVMU8V",1.12,0.01,MP,Pending,,,68a5bf96f308d1e9f0012469,,"50pcs/PACK | Jesus Bible Phrase Slang Stickers - Classical Wisdom Words Waterproof Doodle Stickers",Stationery,"EXISTING | APP","49844600 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
554115529,"2025-08-20 20:22:34","2025-08-20 22:11:53","2025-08-21 09:53:49","Shopee PH - CPS",-,"209398313229227 | 250820BJXN2Y70",4.81,0.06,MP,Pending,,,68a5be09cd70e0f70902d1b1,,"New MH AA/AAA Rechargeable Battery Rechargeable 1.2V/1.5V 1800/2100/3000mAh","Home Appliances","EXISTING | APP","890627275 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
554121561,"2025-08-20 20:10:04","2025-08-20 20:44:28","2025-08-21 09:58:13","Shopee PH - CPS",-,"209393068230528 | 250820BE2B2N0A",1.47,0.02,MP,Pending,,,68a5bb1bfc1079689fc7d0c3,,"【BUY 1 TAKE 2】300PCS Herbal Heating Ginger Patch Detox Foot Body Neck Knee Pain Relief Muscle Paste",Health,"EXISTING | APP","1018882411 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
554121563,"2025-08-20 20:10:04","2025-08-20 20:44:28","2025-08-21 09:58:13","Shopee PH - CPS",-,"209393068230527 | 250820BE2B2N09",3.92,0.05,MP,Pending,,,68a5bb1bfc1079689fc7d0c3,,"【Speedwolf】Inflatable Swimming Pool for Kids With Air Pump Indoor/Outdoor Family Summer Pool","Mom & Baby","EXISTING | APP","516252644 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
