Site,Identitas Campaign,Nama Campaign,Id Transaksi,Tipe Konsumen,Status,Waktu Klik,Waktu Konversi,Waktu Konfirmasi,Category ID,Product ID,Harga/unit,Jumlah,Harga Total,Jumlah Komisi,Id Konversi,Creative ID,SessionID,Status Postback,Hitungan Error Postback,Waktu Postback,URL Postback,Alamat IP,Negara,Kota,Agen Pengguna,Tipe Peraga,Merek Peraga,Browser,Bahasa,Domain Rujukan,URL Rujukan,utm_source,utm_medium,utm_content,utm_campaign,utm_term,target_age,target_gender,target_interest,target_marital_status,target_parental_status,target_education,target_employment,target_life_event,target_homeownership,target_income,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,opt_7,opt_8,opt_9,opt_10,adn_test,aff_sub,aff_sub2,aff_sub3,aff_sub4,aff_sub5
Face-MG,966,Shopee ID NON KOL,2755709199333512977,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-20 23:59:00,--,Digital Nol,2755709199333512977_p-i.172223406.100219_0_Telkom,253750.0,1,253750.0,0.00,195020164,108007,--,ERROR,3,2025-08-21 22:02:16,http://bytecmedia.leadsconv.com/conversion?adn_test=1&usd_sale_amount=253750&conversion_id=30&aff_sub=DL&aff_sub2=Shopee&aff_sub3=ID&usd_payout=0&aff_sub4=XIAOMI&offer_name=Shopee+ID+NON+KOL&aff_sub5=PUSH&datetime_conversion=2025-08-20T23%3A59,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209408350264747,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-20 23:59:00,--,Perlengkapan Rumah,250821BV9S55FS_p-i.857384164.20791653264_166083003475_Lemari+%26+Kabinet,0.0,1,0.0,0.00,195020182,108007,--,ERROR,3,2025-08-21 22:03:14,http://bytecmedia.leadsconv.com/conversion?adn_test=1&usd_sale_amount=0&conversion_id=30&aff_sub=DL&aff_sub2=Shopee&aff_sub3=ID&usd_payout=0&aff_sub4=XIAOMI&offer_name=Shopee+ID+NON+KOL&aff_sub5=PUSH&datetime_conversion=2025-08-20T23%3A59,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209408357299999,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-20 23:59:00,--,Olahraga & Outdoor,250821BV9YUH1D_p-i.974077443.25150389899_214734684629_Jersey,57800.0,1,57800.0,809.00,195020183,108007,--,ERROR,3,2025-08-21 21:57:30,http://bytecmedia.leadsconv.com/conversion?adn_test=1&usd_sale_amount=57800&conversion_id=30&aff_sub=DL&aff_sub2=Shopee&aff_sub3=ID&usd_payout=809&aff_sub4=XIAOMI&offer_name=Shopee+ID+NON+KOL&aff_sub5=PUSH&datetime_conversion=2025-08-20T23%3A59,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209408327292828,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-20 23:58:00,--,Perlengkapan Rumah,250821BV9385JU_p-i.144620078.4012075627_22047436263_Kantong+Plastik++%26+Kantong+Sampah,4475.0,1,4475.0,63.00,195020196,108007,--,ERROR,3,2025-08-21 22:03:15,http://bytecmedia.leadsconv.com/conversion?adn_test=1&usd_sale_amount=4475&conversion_id=30&aff_sub=DL&aff_sub2=Shopee&aff_sub3=ID&usd_payout=63&aff_sub4=XIAOMI&offer_name=Shopee+ID+NON+KOL&aff_sub5=PUSH&datetime_conversion=2025-08-20T23%3A58,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209408321201345,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-20 23:58:00,--,Olahraga & Outdoor,250821BV8WE88Q_p-i.11295973.610356241_206758599058_Boardsport,248400.0,1,248400.0,3478.00,195020206,108007,--,ERROR,3,2025-08-21 21:59:23,http://bytecmedia.leadsconv.com/conversion?adn_test=1&usd_sale_amount=248400&conversion_id=30&aff_sub=DL&aff_sub2=Shopee&aff_sub3=ID&usd_payout=3478&aff_sub4=XIAOMI&offer_name=Shopee+ID+NON+KOL&aff_sub5=PUSH&datetime_conversion=2025-08-20T23%3A58,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209408321201345,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-20 23:58:00,--,Olahraga & Outdoor,250821BV8WE88Q_p-i.11295973.610356241_206758599060_Boardsport,248400.0,1,248400.0,1613.00,195020207,108007,--,ERROR,3,2025-08-21 21:57:30,http://bytecmedia.leadsconv.com/conversion?adn_test=1&usd_sale_amount=248400&conversion_id=30&aff_sub=DL&aff_sub2=Shopee&aff_sub3=ID&usd_payout=1613&aff_sub4=XIAOMI&offer_name=Shopee+ID+NON+KOL&aff_sub5=PUSH&datetime_conversion=2025-08-20T23%3A58,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209408321201345,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-20 23:58:00,--,Olahraga & Outdoor,250821BV8WE88Q_p-i.11295973.610356241_206758599061_Boardsport,248400.0,1,248400.0,0.00,195020208,108007,--,ERROR,3,2025-08-21 21:56:48,http://bytecmedia.leadsconv.com/conversion?adn_test=1&usd_sale_amount=248400&conversion_id=30&aff_sub=DL&aff_sub2=Shopee&aff_sub3=ID&usd_payout=0&aff_sub4=XIAOMI&offer_name=Shopee+ID+NON+KOL&aff_sub5=PUSH&datetime_conversion=2025-08-20T23%3A58,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209408321201345,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-20 23:58:00,--,Olahraga & Outdoor,250821BV8WE88Q_p-i.11295973.610356241_80794168445_Boardsport,128800.0,1,128800.0,0.00,195020209,108007,--,ERROR,3,2025-08-21 21:59:19,http://bytecmedia.leadsconv.com/conversion?adn_test=1&usd_sale_amount=128800&conversion_id=30&aff_sub=DL&aff_sub2=Shopee&aff_sub3=ID&usd_payout=0&aff_sub4=XIAOMI&offer_name=Shopee+ID+NON+KOL&aff_sub5=PUSH&datetime_conversion=2025-08-20T23%3A58,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209408321201345,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-20 23:58:00,--,Olahraga & Outdoor,250821BV8WE88Q_p-i.11295973.610356241_90794168354_Boardsport,386400.0,1,386400.0,5410.00,195020205,108007,--,ERROR,3,2025-08-21 21:58:35,http://bytecmedia.leadsconv.com/conversion?adn_test=1&usd_sale_amount=386400&conversion_id=30&aff_sub=DL&aff_sub2=Shopee&aff_sub3=ID&usd_payout=5410&aff_sub4=XIAOMI&offer_name=Shopee+ID+NON+KOL&aff_sub5=PUSH&datetime_conversion=2025-08-20T23%3A58,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209408304261060,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-20 23:58:00,--,Koper & Tas Travel,250821BV8D9E18_p-i.965550426.20990415035_231764865481_Tas+Lipat,15974.0,1,15974.0,224.00,195020213,108007,--,ERROR,3,2025-08-21 21:59:38,http://bytecmedia.leadsconv.com/conversion?adn_test=1&usd_sale_amount=15974&conversion_id=30&aff_sub=DL&aff_sub2=Shopee&aff_sub3=ID&usd_payout=224&aff_sub4=XIAOMI&offer_name=Shopee+ID+NON+KOL&aff_sub5=PUSH&datetime_conversion=2025-08-20T23%3A58,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
