Order ID,Sub orderid,Creator username,Creator tag ID,Product Name,SKU,Product ID,Price,Quantity,Shop name,Shop code,Currency,Order Status,Content Type,Content id,Standard commission rate,Commission bonus rate,Creative commission rate,Creator commission reward rate,Estimated commission base,Est. standard commission,Est. commission bonus,Est. creative commission,Est. creator commission reward fee,Actual commission base,Actual standard commission,Actual commission bonus,Actual creative commission,Actual creator commission reward fee,Creator tax,Agency commission,Agency commission bonus,Agency creative commission,Creator agency commission reward fee,Total agency commission,Quantity returned,Quantity refunded,Invitation ID,Agency commission rate,Time order created,Time order delivered,Time Commission Paid,Payment ID,Payment method,Payment account,IVA,ISR,Platform,Attribution type,commission model
580068988768257610,580068993708361290,racunbelanjakuyyyy,OEM3_OPPO_SMS_88,2Pcs 100W H11 H8 Lampu Kabut Lampu LED Mobil Super Terang 20SMD 4300K 1000LM Mobil Warna Puith Car Kabel,Default,1730802761813165658,46900,1,Pioneer Peak,IDLCDML2JW,IDR,Processing,Link share,OEM3_OPPO,3.25,,,,46900,1524,,,,,,,,,,,,,,,0,0,0,99,20/08/2025 23:56:08,/,/,/,Bank account,/,,,TTS,Indirect,fixed commission
580068935486899301,"580068935487489125,580068935487554661",racunbelanjakuyyyy,OEM3_OPPO_PUSH,Tali Bagasi Motor Tali Karet Pengikat Barang 100CM 1 Meter,Default,1729902386270471486,4285,2,Zona Impian,IDIDLCTVL4NH,IDR,Processing,Link share,OEM3_OPPO,2,,,,8570,172,,,,,,,,,,,,,,,0,0,0,99,20/08/2025 23:48:56,/,/,/,Bank account,/,,,TTS,Indirect,fixed commission
580068935486899301,580068935487423589,racunbelanjakuyyyy,OEM3_OPPO_PUSH,Lampu Led Mobil T3 T4.2 T4.7 Dashboard Speedometer Wedge Interior,"Putih, T4.7",1729838520998069566,2950,1,Zona Impian,IDIDLCTVL4NH,IDR,Processing,Link share,OEM3_OPPO,2,,,,2950,59,,,,,,,,,,,,,,,0,0,0,99,20/08/2025 23:48:56,/,/,/,Bank account,/,,,TTS,Indirect,fixed commission
580068935486899301,580068935487358053,racunbelanjakuyyyy,OEM3_OPPO_PUSH,Lampu Led Mobil T3 T4.2 T4.7 Dashboard Speedometer Wedge Interior,"Biru Muda, T4.7",1729838520998069566,2950,1,Zona Impian,IDIDLCTVL4NH,IDR,Processing,Link share,OEM3_OPPO,2,,,,2950,59,,,,,,,,,,,,,,,0,0,0,99,20/08/2025 23:48:56,/,/,/,Bank account,/,,,TTS,Indirect,fixed commission
580068935486899301,"580068935487226981,580068935487292517",racunbelanjakuyyyy,OEM3_OPPO_PUSH,Lampu sein Mundur led mobil bayonet 1 kaki 18 titik smd 5050,Putih,1729805174857893182,6045,2,Zona Impian,IDIDLCTVL4NH,IDR,Processing,Link share,OEM3_OPPO,2,,,,12090,242,,,,,,,,,,,,,,,0,0,0,99,20/08/2025 23:48:56,/,/,/,Bank account,/,,,TTS,Indirect,fixed commission
580068935486899301,580068935487161445,racunbelanjakuyyyy,OEM3_OPPO_PUSH,Wiper Frameless 22 Inch Wipper Frameless Murah,Default,1729798465249183038,7581,1,Zona Impian,IDIDLCTVL4NH,IDR,Processing,Link share,OEM3_OPPO,2,,,,7581,152,,,,,,,,,,,,,,,0,0,0,99,20/08/2025 23:48:56,/,/,/,Bank account,/,,,TTS,Indirect,fixed commission
580068935486899301,580068935487095909,racunbelanjakuyyyy,OEM3_OPPO_PUSH,Wiper Frameless 14 Inch Wipper Frameless Murah,Default,1729798465228801342,6988,1,Zona Impian,IDIDLCTVL4NH,IDR,Processing,Link share,OEM3_OPPO,2,,,,6988,140,,,,,,,,,,,,,,,0,0,0,99,20/08/2025 23:48:56,/,/,/,Bank account,/,,,TTS,Indirect,fixed commission
580068892258174909,"580068892258371517,580068892258437053",racunbelanjakuyyyy,OEM3_OPPO_PUSH,[CLEARANCE SALE] Miniso Kami Bare Bears Food Wadah Makanan Container Set Dapat 4pcs Box Makanan Bentuk Beruang Peralatan,Beruang grizzly,1731305371187905979,19789,2,minisoshopid,IDLCWWW7X7,IDR,Processing,Link share,OEM3_OPPO,3,,,,39578,1188,,,,,,,,,,,,,,,0,0,0,99,20/08/2025 23:40:11,/,/,/,Bank account,/,,,TTS,Indirect,fixed commission
580068860114339222,580068860114470294,racunbelanjakuyyyy,OEM3_OPPO_PUSH,"Natur Hair Fall Treatment - Paket Perawatan Haircare dengan Extract Ginseng dan Argan / Anti Hairfall (Anti Rambut Rontok) / Menguatkan serta memberi nutrisi / Vitamin Akar Rambut (Sampo, Hair Tonic, Conditioner) Shampoo & Conditioner",VARIANT 7,1729642959635909242,59584,1,Natur,IDLC7LLLAT,IDR,Processing,Link share,OEM3_OPPO,2.5,,,,59584,1490,,,,,,,,,,,,,,,0,0,0,99,20/08/2025 23:38:22,/,/,/,Bank account,/,,,TTS,Indirect,fixed commission
580068869191861368,580068869192123512,racunbelanjakuyyyy,OEM3_OPPO_PUSH,Syuga Minyak Zaitun- Perfume Body Oil dengan Vitamin E (Menyamarkan Stretch Marks dan Bekas Luka) Minyak Zaitun | Minyak Argan | MIinyak VCO | Minyak Jojoba,"Minyak Argan, Dengan Alat Pijat, 150 ml",1729432516104980636,32445,1,SYUGA,IDLC2LWLN8,IDR,Processing,Link share,OEM3_OPPO,5,,,,32445,1622,,,,,,,,,,,,,,,0,0,0,99,20/08/2025 23:36:58,/,/,/,Bank account,/,,,TTS,Indirect,fixed commission
