Site,Identitas Campaign,Nama Campaign,Id Transaksi,Tipe Konsumen,Status,Waktu Klik,Waktu Konversi,Waktu Konfirmasi,Category ID,Product ID,Harga/unit,Jumlah,Harga Total,Jumlah Komisi,Id Konversi,Creative ID,SessionID,Status Postback,Hitungan Error Postback,Waktu Postback,URL Postback,Alamat IP,Negara,Kota,Agen Pengguna,Tipe Peraga,Merek Peraga,Browser,Bahasa,Domain Rujukan,URL Rujukan,utm_source,utm_medium,utm_content,utm_campaign,utm_term,target_age,target_gender,target_interest,target_marital_status,target_parental_status,target_education,target_employment,target_life_event,target_homeownership,target_income,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,opt_7,opt_8,opt_9,opt_10,aff_sub,aff_sub2,aff_sub3
garybu0801,966,Shopee ID NON KOL,209494762228035,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-21 23:59:00,--,Perawatan & Kecantikan,250822ECS20YRR_p-i.396692580.29903859624_236486295179_Minyak+Tubuh,117300.0,1,117300.0,1642.00,195120582,108007,--,ERROR,3,2025-08-22 22:20:41,https://bytecmedia.leadsconv.com/conversion?usd_sale_amount=117300&conversion_id=30&aff_sub=unknown&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&usd_payout=1642&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-21T23%3A59,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209494742262036,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-21 23:59:00,--,Hobi & Koleksi,250822ECREYNWF_p-i.38705077.1139630803_135499683888_,8955.0,1,8955.0,125.00,195120599,108007,--,ERROR,3,2025-08-22 22:15:24,https://bytecmedia.leadsconv.com/conversion?usd_sale_amount=8955&conversion_id=30&aff_sub=unknown&usd_payout=125&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-21T23%3A59,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209494742262036,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-21 23:59:00,--,Hobi & Koleksi,250822ECREYNWF_p-i.38705077.17523844383_115803665460_,8957.0,1,8957.0,125.00,195120595,108007,--,ERROR,3,2025-08-22 22:17:43,https://bytecmedia.leadsconv.com/conversion?usd_sale_amount=8957&conversion_id=30&aff_sub=unknown&usd_payout=125&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-21T23%3A59,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209494742262036,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-21 23:59:00,--,Hobi & Koleksi,250822ECREYNWF_p-i.38705077.17523844383_115803665460_-AT1,17015.0,1,17015.0,238.00,195120596,108007,--,ERROR,3,2025-08-22 22:22:34,https://bytecmedia.leadsconv.com/conversion?usd_sale_amount=17015&conversion_id=30&aff_sub=unknown&usd_payout=238&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-21T23%3A59,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209494742262036,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-21 23:59:00,--,Hobi & Koleksi,250822ECREYNWF_p-i.38705077.17523844383_115803665462_,25520.0,1,25520.0,357.00,195120597,108007,--,ERROR,3,2025-08-22 22:17:44,https://bytecmedia.leadsconv.com/conversion?usd_sale_amount=25520&conversion_id=30&aff_sub=unknown&usd_payout=357&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-21T23%3A59,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209494742262036,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-21 23:59:00,--,Hobi & Koleksi,250822ECREYNWF_p-i.38705077.17523844383_115803665483_,42534.0,1,42534.0,595.00,195120598,108007,--,ERROR,3,2025-08-22 22:17:49,https://bytecmedia.leadsconv.com/conversion?usd_sale_amount=42534&conversion_id=30&aff_sub=unknown&usd_payout=595&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-21T23%3A59,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209494742262036,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-21 23:59:00,--,Hobi & Koleksi,250822ECREYNWF_p-i.38705077.2472640628_5230235446_,14923.0,1,14923.0,209.00,195120593,108007,--,ERROR,3,2025-08-22 22:12:58,https://bytecmedia.leadsconv.com/conversion?usd_sale_amount=14923&conversion_id=30&aff_sub=unknown&usd_payout=209&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-21T23%3A59,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209494742262036,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-21 23:59:00,--,Hobi & Koleksi,250822ECREYNWF_p-i.38705077.2472640628_78766580342_,29847.0,1,29847.0,418.00,195120594,108007,--,ERROR,3,2025-08-22 22:14:01,https://bytecmedia.leadsconv.com/conversion?usd_sale_amount=29847&conversion_id=30&aff_sub=unknown&usd_payout=418&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-21T23%3A59,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209494746230636,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-21 23:59:00,--,Mobil,250822ECRJRT2A_p-i.143904500.7632970859_40352974701_Oli,30200.0,1,30200.0,423.00,195120601,108007,--,ERROR,3,2025-08-22 22:18:24,https://bytecmedia.leadsconv.com/conversion?usd_sale_amount=30200&conversion_id=30&aff_sub=unknown&usd_payout=423&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-21T23%3A59,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209494741284947,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-21 23:59:00,--,Olahraga & Outdoor,250822ECRE1S3E_p-i.1098236350.44411974953_296003877357_Jaket+Olahraga,49900.0,1,49900.0,699.00,195120606,108007,--,ERROR,3,2025-08-22 22:12:42,https://bytecmedia.leadsconv.com/conversion?usd_sale_amount=49900&conversion_id=30&aff_sub=unknown&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&usd_payout=699&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-21T23%3A59,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209494692297063,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-21 23:58:00,--,Sepatu Wanita,250822ECPYASRG_p-i.71148936.27475116104_227337564268_Sandal+Lainnya,0.0,1,0.0,0.00,195120627,108007,--,ERROR,3,2025-08-22 22:22:44,https://bytecmedia.leadsconv.com/conversion?usd_sale_amount=0&conversion_id=30&aff_sub=unknown&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&usd_payout=0&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-21T23%3A58,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
