Site,Identitas Campaign,Nama Campaign,Id Transaksi,Tipe Konsumen,Status,Waktu Klik,Waktu Konversi,Waktu Konfirmasi,Category ID,Product ID,Harga/unit,Jumlah,Harga Total,Jumlah Komisi,Id Konversi,Creative ID,SessionID,Status Postback,Hitungan Error Postback,Waktu Postback,URL Postback,Alamat IP,Negara,Kota,Agen Pengguna,Tipe Peraga,Merek Peraga,Browser,Bahasa,Domain Rujukan,URL Rujukan,utm_source,utm_medium,utm_content,utm_campaign,utm_term,target_age,target_gender,target_interest,target_marital_status,target_parental_status,target_education,target_employment,target_life_event,target_homeownership,target_income,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,opt_7,opt_8,opt_9,opt_10,aff_sub,aff_sub2,aff_sub3
garybu0801,966,Shopee ID NON KOL,209581105214495,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-22 23:58:00,--,Pakaian Wanita,250823GW693S2A_p-i.1030994824.26338406390_275640205114_Bodysuit,34560.0,1,34560.0,484.00,195228496,108007,--,ERROR,3,2025-08-23 22:17:52,https://bytecmedia.leadsconv.com/conversion?usd_sale_amount=34560&conversion_id=30&aff_sub=unknown&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&usd_payout=484&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-22T23%3A58,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209581019276981,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-22 23:56:00,--,Audio,250823GW3Q53AQ_p-i.25044846.10498171568_212595205615_,40499.0,1,40499.0,567.00,195228543,108007,--,ERROR,3,2025-08-23 22:22:36,https://bytecmedia.leadsconv.com/conversion?usd_sale_amount=40499&conversion_id=30&aff_sub=unknown&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&usd_payout=567&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-22T23%3A56,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209581019276981,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-22 23:56:00,--,Audio,250823GW3Q53AQ_p-i.25044846.17092711446_203856045810_,17324.0,1,17324.0,243.00,195228551,108007,--,ERROR,3,2025-08-23 22:22:31,https://bytecmedia.leadsconv.com/conversion?usd_sale_amount=17324&conversion_id=30&aff_sub=unknown&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&usd_payout=243&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-22T23%3A56,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209581019276981,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-22 23:56:00,--,Audio,250823GW3Q53AQ_p-i.25044846.17092711446_203856045811_,17324.0,1,17324.0,243.00,195228538,108007,--,ERROR,3,2025-08-23 22:22:08,https://bytecmedia.leadsconv.com/conversion?usd_sale_amount=17324&conversion_id=30&aff_sub=unknown&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&usd_payout=243&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-22T23%3A56,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209581019276981,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-22 23:56:00,--,Audio,250823GW3Q53AQ_p-i.25044846.17092711446_203856045812_,17324.0,1,17324.0,243.00,195228549,108007,--,ERROR,3,2025-08-23 22:22:16,https://bytecmedia.leadsconv.com/conversion?usd_sale_amount=17324&conversion_id=30&aff_sub=unknown&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&usd_payout=243&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-22T23%3A56,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209581019276981,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-22 23:56:00,--,Kamera & Drone,250823GW3Q53AQ_p-i.25044846.2007676335_14444057889_Aksesoris+Kamera+Lainnya,4049.0,1,4049.0,57.00,195228541,108007,--,ERROR,3,2025-08-23 22:17:28,https://bytecmedia.leadsconv.com/conversion?usd_sale_amount=4049&conversion_id=30&aff_sub=unknown&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&usd_payout=57&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-22T23%3A56,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209581019276981,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-22 23:56:00,--,Kamera & Drone,250823GW3Q53AQ_p-i.25044846.2007676335_14444057890_Aksesoris+Kamera+Lainnya,4049.0,1,4049.0,57.00,195228548,108007,--,ERROR,3,2025-08-23 22:17:52,https://bytecmedia.leadsconv.com/conversion?usd_sale_amount=4049&conversion_id=30&aff_sub=unknown&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&usd_payout=57&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-22T23%3A56,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209581019276981,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-22 23:56:00,--,Audio,250823GW3Q53AQ_p-i.25044846.2007683456_14441363995_,4499.0,1,4499.0,63.00,195228539,108007,--,ERROR,3,2025-08-23 22:22:17,https://bytecmedia.leadsconv.com/conversion?usd_sale_amount=4499&conversion_id=30&aff_sub=unknown&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&usd_payout=63&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-22T23%3A56,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209581019276981,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-22 23:56:00,--,Audio,250823GW3Q53AQ_p-i.25044846.2007683456_14441363996_,4499.0,1,4499.0,63.00,195228545,108007,--,ERROR,3,2025-08-23 22:22:31,https://bytecmedia.leadsconv.com/conversion?usd_sale_amount=4499&conversion_id=30&aff_sub=unknown&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&usd_payout=63&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-22T23%3A56,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209581019276981,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-22 23:56:00,--,Audio,250823GW3Q53AQ_p-i.25044846.4860347405_61620035178_,6749.0,1,6749.0,94.00,195228546,108007,--,ERROR,3,2025-08-23 22:22:26,https://bytecmedia.leadsconv.com/conversion?usd_sale_amount=6749&conversion_id=30&aff_sub=unknown&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&usd_payout=94&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-22T23%3A56,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209581019276981,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-22 23:56:00,--,Audio,250823GW3Q53AQ_p-i.25044846.4860347405_61620035179_,6749.0,1,6749.0,94.00,195228544,108007,--,ERROR,3,2025-08-23 22:22:18,https://bytecmedia.leadsconv.com/conversion?usd_sale_amount=6749&conversion_id=30&aff_sub=unknown&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&usd_payout=94&offer_name=Shopee+ID+NON+KOL&datetime_conversion=2025-08-22T23%3A56,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
