Site,Identitas Campaign,Nama Campaign,Id Transaksi,Tipe Konsumen,Status,Waktu Klik,Waktu Konversi,Waktu Konfirmasi,Category ID,Product ID,Harga/unit,Jumlah,Harga Total,Jumlah Komisi,Id Konversi,Creative ID,SessionID,Status Postback,Hitungan Error Postback,Waktu Postback,URL Postback,Alamat IP,Negara,Kota,Agen Pengguna,Tipe Peraga,Merek Peraga,Browser,Bahasa,Domain Rujukan,URL Rujukan,utm_source,utm_medium,utm_content,utm_campaign,utm_term,target_age,target_gender,target_interest,target_marital_status,target_parental_status,target_education,target_employment,target_life_event,target_homeownership,target_income,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,opt_7,opt_8,opt_9,opt_10,adn_test,aff_sub,aff_sub2,aff_sub3,aff_sub4,aff_sub5
Face-MG,966,Shopee ID NON KOL,209667597290492,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-23 23:59:00,--,Perlengkapan Rumah,250824KDQXCN6J_p-i.1276939026.24782229067_241019200887_Pot+%26+Planter,26250.0,1,26250.0,368.00,195338073,108007,--,NOT_NEEDED,0,2025-08-24 21:57:31,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Detroit&adn_test=1&conv_status=0&adn_country=United+States&conv_revenue=368&e_value=26250&conv_time=2025-08-23T23%3A59&adn_d_brand=unknown&adv_s1=Perlengkapan+Rumah&action_id=30&aff_sub=DL&traffic_time=2025-08-15T15%3A23%3A10&aff_sub2=Shopee&aff_sub3=ID&order_id=195338073&aff_sub4=XIAOMI&aff_sub5=PUSH&adn_d_type=ANDROID,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209667597211491,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-23 23:59:00,--,Ibu & Bayi,250824KDQXA70G_p-i.1304929638.27166739625_185532110491_Tisu,10560.0,1,10560.0,148.00,195338074,108007,--,NOT_NEEDED,0,2025-08-24 21:14:07,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Detroit&adn_test=1&conv_status=0&adn_country=United+States&conv_revenue=148&e_value=10560&conv_time=2025-08-23T23%3A59&adn_d_brand=unknown&adv_s1=Ibu+%26+Bayi&action_id=30&aff_sub=DL&traffic_time=2025-08-15T15%3A23%3A10&aff_sub2=Shopee&aff_sub3=ID&order_id=195338074&aff_sub4=XIAOMI&aff_sub5=PUSH&adn_d_type=ANDROID,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209667580225726,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-23 23:59:00,--,Perlengkapan Rumah,250824KDQE3QHQ_p-i.553637756.27874781477_218184130878_Pembasmi+Hama+%26+Gulma,22080.0,1,22080.0,309.00,195338080,108007,--,NOT_NEEDED,0,2025-08-24 21:57:27,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Detroit&adn_test=1&conv_status=0&adn_country=United+States&conv_revenue=309&e_value=22080&conv_time=2025-08-23T23%3A59&adn_d_brand=unknown&adv_s1=Perlengkapan+Rumah&action_id=30&aff_sub=DL&traffic_time=2025-08-15T15%3A23%3A10&aff_sub2=Shopee&aff_sub3=ID&order_id=195338080&aff_sub4=XIAOMI&aff_sub5=PUSH&adn_d_type=ANDROID,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209667580225725,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-23 23:59:00,--,Perlengkapan Rumah,250824KDQE3QHP_p-i.330910536.21258605310_182980372107_Pupuk,11520.0,1,11520.0,161.00,195338081,108007,--,NOT_NEEDED,0,2025-08-24 22:00:28,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Detroit&adn_test=1&conv_status=0&adn_country=United+States&conv_revenue=161&e_value=11520&conv_time=2025-08-23T23%3A59&adn_d_brand=unknown&adv_s1=Perlengkapan+Rumah&action_id=30&aff_sub=DL&traffic_time=2025-08-15T15%3A23%3A10&aff_sub2=Shopee&aff_sub3=ID&order_id=195338081&aff_sub4=XIAOMI&aff_sub5=PUSH&adn_d_type=ANDROID,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209667576271455,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-23 23:59:00,--,Pakaian Wanita,250824KDQAB751_p-i.935614024.26416767713_252150733434_Tanktop+%26+Kamisol,0.0,1,0.0,0.00,195338082,108007,--,NOT_NEEDED,0,2025-08-24 21:03:19,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Detroit&adn_test=1&conv_status=0&adn_country=United+States&conv_revenue=0&e_value=0&conv_time=2025-08-23T23%3A59&adn_d_brand=unknown&adv_s1=Pakaian+Wanita&action_id=30&aff_sub=DL&traffic_time=2025-08-15T15%3A23%3A10&aff_sub2=Shopee&aff_sub3=ID&order_id=195338082&aff_sub4=XIAOMI&aff_sub5=PUSH&adn_d_type=ANDROID,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209667568294237,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-23 23:59:00,--,Aksesoris Fashion,250824KDQ2QMNS_p-i.52003888.3513401151_70789982319_,137080.0,1,137080.0,1919.00,195338085,108007,--,NOT_NEEDED,0,2025-08-24 20:57:06,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Detroit&adn_test=1&conv_status=0&adn_country=United+States&conv_revenue=1919&e_value=137080&conv_time=2025-08-23T23%3A59&adn_d_brand=unknown&adv_s1=Aksesoris+Fashion&action_id=30&aff_sub=DL&traffic_time=2025-08-15T15%3A23%3A10&aff_sub2=Shopee&aff_sub3=ID&order_id=195338085&aff_sub4=XIAOMI&aff_sub5=PUSH&adn_d_type=ANDROID,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209667568294237,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-23 23:59:00,--,Perawatan & Kecantikan,250824KDQ2QMNT_p-i.380266264.27353242923_166533113001_Kosmetik+Wajah,146270.0,1,146270.0,2048.00,195338084,108007,--,NOT_NEEDED,0,2025-08-24 21:10:45,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Detroit&adn_test=1&conv_status=0&adn_country=United+States&conv_revenue=2048&e_value=146270&conv_time=2025-08-23T23%3A59&adn_d_brand=unknown&adv_s1=Perawatan+%26+Kecantikan&action_id=30&aff_sub=DL&traffic_time=2025-08-15T15%3A23%3A10&aff_sub2=Shopee&aff_sub3=ID&order_id=195338084&aff_sub4=XIAOMI&aff_sub5=PUSH&adn_d_type=ANDROID,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,2755968363503905864,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-23 23:59:00,--,Digital Nol,2755968363503905864_p-i.172223406.157363_0_Paket+Data,15875.0,1,15875.0,0.00,195338086,108007,--,NOT_NEEDED,0,2025-08-24 21:51:51,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Detroit&adn_test=1&conv_status=0&adn_country=United+States&conv_revenue=0&e_value=15875&conv_time=2025-08-23T23%3A59&adn_d_brand=unknown&adv_s1=Digital+Nol&action_id=30&aff_sub=DL&traffic_time=2025-08-15T15%3A23%3A10&aff_sub2=Shopee&aff_sub3=ID&order_id=195338086&aff_sub4=XIAOMI&aff_sub5=PUSH&adn_d_type=ANDROID,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209667532231523,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-23 23:58:00,--,Pakaian Wanita,250824KDP0AYN6_p-i.476123638.29875141078_253087810112_Kaos,36000.0,1,36000.0,504.00,195338108,108007,--,NOT_NEEDED,0,2025-08-24 21:03:19,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Detroit&adn_test=1&conv_status=0&adn_country=United+States&conv_revenue=504&e_value=36000&conv_time=2025-08-23T23%3A58&adn_d_brand=unknown&adv_s1=Pakaian+Wanita&action_id=30&aff_sub=DL&traffic_time=2025-08-15T15%3A23%3A10&aff_sub2=Shopee&aff_sub3=ID&order_id=195338108&aff_sub4=XIAOMI&aff_sub5=PUSH&adn_d_type=ANDROID,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209667532231523,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-23 23:58:00,--,Pakaian Wanita,250824KDP0AYN6_p-i.476123638.44011754738_216193637403_Tanktop+%26+Kamisol,28000.0,1,28000.0,392.00,195338109,108007,--,NOT_NEEDED,0,2025-08-24 21:02:22,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Detroit&adn_test=1&conv_status=0&adn_country=United+States&conv_revenue=392&e_value=28000&conv_time=2025-08-23T23%3A58&adn_d_brand=unknown&adv_s1=Pakaian+Wanita&action_id=30&aff_sub=DL&traffic_time=2025-08-15T15%3A23%3A10&aff_sub2=Shopee&aff_sub3=ID&order_id=195338109&aff_sub4=XIAOMI&aff_sub5=PUSH&adn_d_type=ANDROID,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
