"Conversion ID","Click Date","Conversion Date","Recorded On",Advertiser,"Campaign Name","Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks,"Publisher Sub ID 2","Publisher Sub ID 3","Publisher Sub ID 4","Publisher Sub ID 5","Advertiser Sub ID 2","Advertiser Sub ID 3","Advertiser Sub ID 4","Advertiser Sub ID 5"
555484672,,"2025-08-23 19:30:11","2025-08-23 21:05:32","TikTok Shop ID - CPS",-,580101969388930574,4.08,0.21,FTK_ID_VIVO_PUSH,Pending,,,,,,1730727337485764168,"Kreain Nature Krim Kolagen Sendi, bahan lembut, perawatan harian yang nyaman",1730727316415088200,"KREAIN NATURE OFFICIALSTORE.ID"
555092480,,"2025-08-23 08:14:13","2025-08-23 08:40:17","TikTok Shop MY - CPS",-,580094978833090478,1.74,0.02,OEM2_VIVO_PUSH,Pending,,,,,,1729670604140152138,"Dekorasi lampu bola disko bola ajaib kristal berputar bohlam panggung LED warna RGB lampu efek pesta DJ berputar",1729670571450008906,"Tech & Toy KL"
555093248,,"2025-08-23 07:39:59","2025-08-23 08:41:29","TikTok Shop MY - CPS",-,580094735049196841,10.17,0.18,FTK_MY_VIVO_PUSH,Pending,,,,,,1730164151711270373,"1KG IKAN BILIS BANGSAWAN SIAP BELAH 5A RANGUP GARING KURANG MASIN",1729582191965734373,"Borneo Seafood Product"
555487488,,"2025-08-23 18:21:09","2025-08-23 21:10:42","TikTok Shop ID - CPS",-,580101203462292534,2.13,0.04,DL_8,Pending,,TTS,ID,OPPO,PUSH,1731394983271892520,"[FLASH SALE] Serum Wajah Glowvea Anti Aging Glowing 30ml Untuk Perawatan Kerutan, Jerawat, Flek Hitam, Kulit Kering Aging Mengencangkan",1731394963913868840,Glowvea.id
555095296,,"2025-08-23 03:27:24","2025-08-23 08:45:39","TikTok Shop MY - CPS",-,580093995615684047,11.27,0.24,OEM2_VIVO_PUSH,Pending,,,,,,1731180893970663255,"PROMOTION 2025 [50PCS SET] [M'sia Stock] Fun Kids Pull Back Mini Racing Sport Car Toys Kereta Mainan Budak Toys For Boys",1731180835588179799,"Homito Home"
555096064,,"2025-08-23 07:52:04","2025-08-23 08:47:49","TikTok Shop TH (Deeplinkable) - CPS",-,580094829425165626,0.95,0.02,FTK,Pending,,TTS,TH,OPPO,PUSH_02,1731444855363111384,"กางเกงขาสั้น  ระบายอากาศดี  โล่งสบาย เชือกผูกได้ผ้าดีใส่สบาย สินค้าพร้อมส่งจากไทย squirrel",1731340717351274968,squirrel3012
555490048,,"2025-08-23 17:08:53","2025-08-23 21:15:35","TikTok Shop ID - CPS",-,580100470057043539,4.37,0.02,DL,Pending,,TTS,ID,OPPO,PUSH,1729704394433922563,"Bearing/Laher/laker 6202 2rs -12MM ASB 6202 as 12mm ASB (ISI 10PCS)",1729704394540746243,sparepartstations
555490560,,"2025-08-23 16:53:18","2025-08-23 21:16:36","TikTok Shop ID - CPS",-,580100323382167106,3.02,0.05,FTK_56,Pending,,TTS,ID,XIAOMI,PUSH,1730339408726493079,"Baterai Battery k330 k530i G900 G700 BST-33 Original",1730339408726427543,"pasti original asli"
555494912,,"2025-08-23 20:53:51","2025-08-23 21:29:39","TikTok Shop MY - CPS",-,580102932857390919,0.38,0.01,OEM3_OPPO_PUSH,Pending,,,,,,1729613101709362658,"CmaaDu - gincu baldu matte, 18 warna, sayu bibir, mousse, cawan tidak melekat, putih tahan lama LF1B01 Lipstick Makeup Lipstik-010 Kalis Air",1729613101708707298,FaceGirl
555496192,,"2025-08-23 20:23:17","2025-08-23 21:31:47","TikTok Shop MY - CPS",-,580102569732704148,12.17,0.51,OEM3_OPPO_PUSH,Pending,,,,,,1729580519865812931,"Jam Tangan Pintar, Stok Sedia, Hw20, ECG + PPG, Gaya Perniagaan, Tali Keluli Tahan Karat, Bluetooth, Kalis Air, Fungsi Panggilan, Sesuai untuk Lelaki dan Wanita",1729580519865747395,"HNUISE SHOP"
555496448,,"2025-08-23 20:16:32","2025-08-23 21:32:15","TikTok Shop MY - CPS",-,580102507406329608,0.18,0.01,OEM3_OPPO_PUSH,Pending,,,,,,1731124591775548953,"Mainan Mewah, Alien Stage Till & lvan, Anak Patung Kapas Ivti Badan Tapak sulaiman Anime, Hadiah Hari Jadi Bernilai Tinggi",1731124591775417881,"Zip Spark"
555497472,,"2025-08-23 19:51:51","2025-08-23 21:34:09","TikTok Shop MY - CPS",-,580102233551243118,0.84,0.01,OEM3_OPPO_PUSH,Pending,,,,,,1729620113995105619,"Sarung untuk Realme 12X 5G, Realme 12 + 5G, Sarung Getah Silikon Cecair Tepi Lurus, dengan Lanyard, Sarung TPU Kusam, Penutup Kalis Kejutan, dengan Tali",1729620113994384723,"Luxury Casing"
555497728,,"2025-08-23 19:43:54","2025-08-23 21:34:48","TikTok Shop MY - CPS",-,580102136606328697,3.90,0.11,FTK_91,Pending,,TTS,MY,VIVO,PUSH03,1729593577132755382,"LULUROLL oil serum by Clara Beauty",1729463494682315190,"Mek kosmetik"
