"Conversion ID","Click Date","Conversion Date","Recorded On",Advertiser,"Campaign Name","Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks,"Publisher Sub ID 2","Publisher Sub ID 3","Publisher Sub ID 4","Advertiser Sub ID 2","Advertiser Sub ID 3","Advertiser Sub ID 4","Advertiser Sub ID 5"
555620333,"2025-08-23 03:29:56","2025-08-23 23:46:38","2025-08-24 09:42:05","Shopee TH - CPS",-,"209663197283263 | 250823K9MT6WRQ",1.82,0.02,MKK,Pending,,,,,"กระดานรองวาด กระดานวาดเขียน แผ่นไม้วาดเขียน ขนาด A1/A4/A3/A2/A5/A6/A7 มีคลิบ/ไม่มีคลิบหนีบ แผ่นรองวาด พร้อมส่งUS.Station",เครื่องเขียน,"EXISTING | APP","151332074 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
555695585,"2025-08-21 15:44:25","2025-08-23 00:34:45","2025-08-24 10:34:50","Shopee PH - CPS",-,"209579684288003 | 250823GUUX0DFD",1.86,0.02,MP,Pending,,,68a6ce581ef53ff8c40627d7,,"Korean Bouquet Wrapper Silver Gray Edge 20pcs | flower wrapper bouquet",Stationery,"EXISTING | APP","1483807160 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
555695587,"2025-08-21 15:44:25","2025-08-23 00:34:45","2025-08-24 10:34:50","Shopee PH - CPS",-,"209579684288003 | 250823GUUX0DFD",3.01,0.04,MP,Pending,,,68a6ce581ef53ff8c40627d7,,"Bopp Plain/Transparent Plastic Wrap and Designed Bouquet Wrapper",Stationery,"EXISTING | APP","1483807160 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
555691804,"2025-08-21 15:08:32","2025-08-23 09:32:41","2025-08-24 10:32:58","Shopee PH - CPS",-,"209611960232984 | 250823HSWTR9QG",1.58,0.02,MP,Pending,,,68a6c5f06ef29c5aaeafdf42,,"B7000 Glue for Arts and Crafts, DIY Projects MultiPurpose Glue Adhesive Epoxy Resin Repair Cellphone",Stationery,"EXISTING | APP","47415594 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
555677320,"2025-08-21 14:22:32","2025-08-23 13:34:36","2025-08-24 10:23:21","Shopee PH - CPS",-,"209626469269010 | 250823J7E7MMM6",4.55,0.05,MP,Pending,,,68a6bb2741076b5e2416dbe2,,"PER PIECE !! PVC CEMENT PAIL & PAINT TRAY!!","Home & Living","EXISTING | APP","292333459 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
555654471,"2025-08-21 14:08:36","2025-08-23 19:12:53","2025-08-24 10:07:17","Shopee PH - CPS",-,"209646773273899 | 250823JTBB1WPB",1.50,0.02,MP,Pending,,,68a6b7e35841413b89c48d71,,"Anti Blue Eyeglasses Korean Retro Round Anti Radiation Glasses Metal Frame Eyeglasses Women/Men","Fashion Accessories","EXISTING | APP","358443134 | PREFERRED_CB | ORDERED_IN_DIFFERENT_SHOP"
555690433,"2025-08-21 13:42:49","2025-08-23 10:05:51","2025-08-24 10:32:19","Shopee PH - CPS",-,"209613951288634 | 250823HUS5JCG2",0.48,0.01,MP,Pending,,,68a6b1d82e7bad2ccb8e81a7,,"qjoq.ph | 100PCS 8mm Fuzzy Wire Colored Chenille Wires Fluffy Sticks Stems Twist Tie for Kids","Mom & Baby","EXISTING | APP","49844600 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
555690436,"2025-08-21 13:42:49","2025-08-23 10:05:51","2025-08-24 10:32:20","Shopee PH - CPS",-,"209613951288634 | 250823HUS5JCG2",0.48,0.01,MP,Pending,,,68a6b1d82e7bad2ccb8e81a7,,"qjoq.ph | 100PCS 8mm Fuzzy Wire Colored Chenille Wires Fluffy Sticks Stems Twist Tie for Kids","Mom & Baby","EXISTING | APP","49844600 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
555690440,"2025-08-21 13:42:49","2025-08-23 10:05:51","2025-08-24 10:32:20","Shopee PH - CPS",-,"209613951288634 | 250823HUS5JCG2",0.39,0.00,MP,Pending,,,68a6b1d82e7bad2ccb8e81a7,,"qjoq.ph | 100PCS 8mm Fuzzy Wire Colored Chenille Wires Fluffy Sticks Stems Twist Tie for Kids","Mom & Baby","EXISTING | APP","49844600 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
555690443,"2025-08-21 13:42:49","2025-08-23 10:05:51","2025-08-24 10:32:20","Shopee PH - CPS",-,"209613951288634 | 250823HUS5JCG2",1.35,0.02,MP,Pending,,,68a6b1d82e7bad2ccb8e81a7,,"qjoq.ph | 20pcs Silver Edge Waterproof Floral Wrapping Paper Sheets Frosted Bouquet Packaging Paper",Stationery,"EXISTING | APP","49844600 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
