Site,Identitas Campaign,Nama Campaign,Id Transaksi,Tipe Konsumen,Status,Waktu Klik,Waktu Konversi,Waktu Konfirmasi,Category ID,Product ID,Harga/unit,Jumlah,Harga Total,Jumlah Komisi,Id Konversi,Creative ID,SessionID,Status Postback,Hitungan Error Postback,Waktu Postback,URL Postback,Alamat IP,Negara,Kota,Agen Pengguna,Tipe Peraga,Merek Peraga,Browser,Bahasa,Domain Rujukan,URL Rujukan,utm_source,utm_medium,utm_content,utm_campaign,utm_term,target_age,target_gender,target_interest,target_marital_status,target_parental_status,target_education,target_employment,target_life_event,target_homeownership,target_income,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,opt_7,opt_8,opt_9,opt_10,aff_sub,aff_sub2,aff_sub3
garybu0801,966,Shopee ID NON KOL,209753969254791,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-24 23:59:00,--,Hobi & Koleksi,250825NX613GA3_p-i.9465426.6581430656_242152529138_,35200.0,1,35200.0,493.00,195450190,108007,--,NOT_NEEDED,1,2025-08-25 21:41:45,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=35200&conv_status=0&adn_country=United+States&conv_revenue=493&conv_time=2025-08-24T23%3A59&adn_d_brand=unknown&adv_s1=Hobi+%26+Koleksi&action_id=30&aff_sub=A_OEM3_OPPO_PUSH_01&traffic_time=2025-07-24T17%3A33%3A13&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&order_id=195450190&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,2756054133420316695,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-24 23:48:00,--,Digital Nol,2756054133420316695_p-i.172223406.157337_0_Paket+Data,10000.0,1,10000.0,0.00,195450652,108007,--,NOT_NEEDED,0,2025-08-25 21:56:13,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=10000&conv_status=0&adn_country=United+States&conv_revenue=0&conv_time=2025-08-24T23%3A48&adn_d_brand=unknown&adv_s1=Digital+Nol&action_id=30&aff_sub=A_OEM3_OPPO_PUSH_01&traffic_time=2025-07-24T17%3A33%3A13&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&order_id=195450652&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209753209298966,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-24 23:46:00,--,Handphone & Aksesoris,250825NWFCBFJM_p-i.145653028.27222536480_242397800287_Kabel+Charger+%26+Konverter,1900.0,1,1900.0,27.00,195450718,108007,--,NOT_NEEDED,0,2025-08-25 21:41:58,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=1900&conv_status=0&adn_country=United+States&conv_revenue=27&conv_time=2025-08-24T23%3A46&adn_d_brand=unknown&adv_s1=Handphone+%26+Aksesoris&action_id=30&aff_sub=A_OEM3_OPPO_PUSH_01&traffic_time=2025-07-24T17%3A33%3A13&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&order_id=195450718&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209752767226231,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-24 23:39:00,--,Perlengkapan Rumah,250825NW26RNHT_p-i.214349926.14542835510_275578420672_Wallpaper+%26+Stiker+Dinding,90180.0,1,90180.0,1263.00,195451011,108007,--,NOT_NEEDED,0,2025-08-25 22:10:28,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=90180&conv_status=0&adn_country=United+States&conv_revenue=1263&conv_time=2025-08-24T23%3A39&adn_d_brand=unknown&adv_s1=Perlengkapan+Rumah&action_id=30&aff_sub=A_OEM2_VIVO_PUSH_AUG&traffic_time=2025-07-30T08%3A58%3A16&order_id=195451011&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209752738254531,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-24 23:38:00,--,Kamera & Drone,250825NW1B4H3M_p-i.1223896873.25072219222_217411203228_Roll+Film+%26+Kertas+Foto,13231.0,1,13231.0,185.00,195451034,108007,--,NOT_NEEDED,0,2025-08-25 21:01:04,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=13231&conv_status=0&adn_country=United+States&conv_revenue=185&conv_time=2025-08-24T23%3A38&adn_d_brand=unknown&adv_s1=Kamera+%26+Drone&action_id=30&aff_sub=A_OEM2_VIVO_PUSH_AUG&traffic_time=2025-07-30T08%3A58%3A16&order_id=195451034&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209752738254531,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-24 23:38:00,--,Kamera & Drone,250825NW1B4H3M_p-i.1223896873.25072219222_217411203229_Roll+Film+%26+Kertas+Foto,10658.0,1,10658.0,149.00,195451035,108007,--,NOT_NEEDED,0,2025-08-25 21:39:53,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=10658&conv_status=0&adn_country=United+States&conv_revenue=149&conv_time=2025-08-24T23%3A38&adn_d_brand=unknown&adv_s1=Kamera+%26+Drone&action_id=30&aff_sub=A_OEM2_VIVO_PUSH_AUG&traffic_time=2025-07-30T08%3A58%3A16&order_id=195451035&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209752738254531,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-24 23:38:00,--,Hobi & Koleksi,250825NW1B4H3M_p-i.1223896873.25226956867_119150666499_Gantungan+Kunci,50620.0,1,50620.0,709.00,195451036,108007,--,NOT_NEEDED,0,2025-08-25 21:09:52,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=50620&conv_status=0&adn_country=United+States&conv_revenue=709&conv_time=2025-08-24T23%3A38&adn_d_brand=unknown&adv_s1=Hobi+%26+Koleksi&action_id=30&aff_sub=A_OEM2_VIVO_PUSH_AUG&traffic_time=2025-07-30T08%3A58%3A16&order_id=195451036&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209752738254531,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-24 23:38:00,--,Hobi & Koleksi,250825NW1B4H3M_p-i.1223896873.25226956867_236944476341_Gantungan+Kunci,50621.0,1,50621.0,709.00,195451037,108007,--,NOT_NEEDED,0,2025-08-25 21:09:40,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=50621&conv_status=0&adn_country=United+States&conv_revenue=709&conv_time=2025-08-24T23%3A38&adn_d_brand=unknown&adv_s1=Hobi+%26+Koleksi&action_id=30&aff_sub=A_OEM2_VIVO_PUSH_AUG&traffic_time=2025-07-30T08%3A58%3A16&order_id=195451037&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209752738254531,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-24 23:38:00,--,Hobi & Koleksi,250825NW1B4H3M_p-i.1223896873.26104002382_137967807026_Gantungan+Kunci,6190.0,1,6190.0,87.00,195451033,108007,--,NOT_NEEDED,0,2025-08-25 21:09:33,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=6190&conv_status=0&adn_country=United+States&conv_revenue=87&conv_time=2025-08-24T23%3A38&adn_d_brand=unknown&adv_s1=Hobi+%26+Koleksi&action_id=30&aff_sub=A_OEM2_VIVO_PUSH_AUG&traffic_time=2025-07-30T08%3A58%3A16&order_id=195451033&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209752375290481,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-24 23:32:00,--,Perlengkapan Rumah,250825NVPGYRVX_p-i.190965698.25629141999_207492095999_Pembasmi+Hama+%26+Gulma,13945.0,1,13945.0,195.00,195451304,108007,--,NOT_NEEDED,0,2025-08-25 22:10:43,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=13945&conv_status=0&adn_country=United+States&conv_revenue=195&conv_time=2025-08-24T23%3A32&adn_d_brand=unknown&adv_s1=Perlengkapan+Rumah&action_id=30&aff_sub=A_OEM3_OPPO_PUSH_01&traffic_time=2025-07-24T17%3A33%3A13&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&order_id=195451304&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209752035244525,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-24 23:27:00,--,Kesehatan,250825NVCCPAQV_p-i.400896332.22022845785_246244616131_Sarung+Tangan+%26+Masker+Medis,11999.0,1,11999.0,168.00,195451532,108007,--,NOT_NEEDED,0,2025-08-25 21:44:01,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=11999&conv_status=0&adn_country=United+States&conv_revenue=168&conv_time=2025-08-24T23%3A27&adn_d_brand=unknown&adv_s1=Kesehatan&action_id=30&aff_sub=A_OEM2_VIVO_PUSH_AUG&traffic_time=2025-07-30T08%3A58%3A16&order_id=195451532&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
