"Conversion ID","Click Date","Conversion Date","Recorded On",Advertiser,"Campaign Name","Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks,"Publisher Sub ID 2","Publisher Sub ID 3","Publisher Sub ID 4","Advertiser Sub ID 2","Advertiser Sub ID 3","Advertiser Sub ID 4","Advertiser Sub ID 5"
556466688,,"2025-08-25 13:15:59","2025-08-25 17:49:46","TikTok Shop TH (Deeplinkable) - CPS",-,580122997246886976,1.13,0.00,FTK,Pending,,TTS,TH,OPPO,1732133773655180951,"ที่เปิดขวดนกบิน โลหะผสมสังกะสี ดีไซน์นก สร้างสมดุลแบบแขวน ที่เปิดเบียร์โลหะ ที่ยกฝาขวด",1732133773655115415,q2shandong27
556073984,,"2025-08-25 05:52:40","2025-08-25 09:11:43","TikTok Shop TH (Deeplinkable) - CPS",-,580119135048271250,5.83,0.11,FTK,Pending,,TTS,TH,OPPO,1729515329132136631,"มาดามออร์แกนิก เซ็ตคู่จิ้นหน้าใส ขนาด 5 กรัม (Primer Pearl Skin , Whitening Arbutin) บํารุงผิวหน้า สกินแคร์ บำรุง ใบหน้า",1729515329132071095,"Madame Organic Thailand"
556468480,,"2025-08-25 11:56:00","2025-08-25 17:54:15","TikTok Shop TH (Deeplinkable) - CPS",-,580122036065371304,1.95,0.05,FTK,Pending,,TTS,TH,OPPO,1731747181011437318,"W&Y Shoes รองเท้าแตะหุ้มข้อ วัสดุยางEVA ใส่สบาย เบานุ่มนิ่มรองเท้าสูง 3.5cm มีช่องลมระบายอากาศใช้งานประจำวันได้เลย ราคาถูกมาก1750651567983",1731747181010257670,"W&Y Shoes"
556468736,,"2025-08-25 11:44:18","2025-08-25 17:54:55","TikTok Shop TH (Deeplinkable) - CPS",-,580121859051324592,2.17,0.10,FTK_90,Pending,,TTS,TH,VIVO,1731838355334989600,"ไม้ตียุงไฟฟ้า, การออกแบบ USB, มัลติฟังก์ชั่น, ขนาดเล็ก, พร้อมโคมไฟดักยุง, เหมาะสำหรับการฆ่ายุงและแมลงวัน, ขนาดเล็กและพกพาสะดวก",1731838355334858528,"ของวิเศษ TG2"
556469248,,"2025-08-25 11:19:37","2025-08-25 17:56:04","TikTok Shop TH (Deeplinkable) - CPS",-,580121577069577475,3.71,0.01,FTK,Pending,,TTS,TH,OPPO,1732113043229935172,"รองเท้าลำลองตาข่ายระบายอากาศสำหรับเด็ก สำหรับเด็กชายและเด็กหญิง รองเท้าผ้าใบแฟชั่น รองเท้ากีฬา เหมาะสำหรับฤดูใบไม้ผลิและฤดูร้อน",1732113043229214276,Steven098596
556470016,,"2025-08-25 10:42:56","2025-08-25 17:57:53","TikTok Shop TH (Deeplinkable) - CPS",-,580121165804897292,1.98,0.01,FTK,Pending,,TTS,TH,OPPO,1731514579103943569,"JIAYING ยาย้อมผม 100ml*2 ยาย้อมผม ครีมเปลี่ยนสีผม ครีมย้อมผม สีย้อมผมติดทน น้ำยากัดสีผม แฟชั่นหลังการย้อม สารบริสุทธิ์จากพืชธรรมชาติ สีสวย ติดแน่น ง่ายต่อการสี ไม่ทำลายเส้นผม สีน้อมผม",1731514548908362641,JIAYING-6
556470272,,"2025-08-25 10:30:18","2025-08-25 17:58:32","TikTok Shop TH (Deeplinkable) - CPS",-,580121054464738683,5.24,0.10,FTK_90,Pending,,TTS,TH,VIVO,1731381119209409311,"(Super Live)กระดาษทิชชู่หนา 4 ชั้น เนเชอรัล ซิเปา 1000 ชิ้นต่อแพ็ค 10 แพ็ค TH ขนาด 170*130mm",1731381119209343775,"Sipiao Facial Tissue"
556470784,,"2025-08-25 10:04:23","2025-08-25 17:59:39","TikTok Shop TH (Deeplinkable) - CPS",-,580120763866776782,6.50,0.27,FTK,Pending,,TTS,TH,OPPO,1732110724242835083,"เสื้อยืดแขนสั้น ลายสายฟ้า ผ้าฝ้าย 100% คอวี ใส่หน้าร้อน ทรงหลวม อเนกประสงค์ ใส่สบาย เหมาะสำหรับนักเรียน",1732110724241917579,KEYEDIANXISHANGWU
556471040,,"2025-08-25 09:51:41","2025-08-25 18:00:09","TikTok Shop TH (Deeplinkable) - CPS",-,580120628089357543,4.00,0.13,FTK,Pending,,TTS,TH,OPPO,1730966612910246537,"เสื้อกันหนาวมีฮู้ดผู้ชาย ดีไซน์หน้ายิ้มและตลก สไตล์อเมริกันฮีทเวท ทรงหลวม วัสดุแคชเมียร์ เสื้อสวมหัว เหมาะสำหรับคู่รัก เสื้อสวมหัว เสื้อสวมหัว",1730966612909722249,ksalulu
556538112,,"2025-08-25 23:45:25","2025-08-26 02:19:21","TikTok Shop ID - CPS",-,580130448461235285,1.23,0.00,FTK,Pending,,TTS,ID,OPPO,1731592665225987178,"[isi 6pcs] Sabun Cuci Sayang detergent wangi",1731592609722565738,trishel.co
