"Conversion ID","Click ID","Click Date","Conversion Date","Recorded On","Click to Conversion Time",Advertiser,"Campaign Name","Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks,"Publisher Sub ID 2","Publisher Sub ID 3","Publisher Sub ID 4","Publisher Sub ID 5","Advertiser Sub ID 2","Advertiser Sub ID 3","Advertiser Sub ID 4","Advertiser Sub ID 5"
539243193,fe7483944aa64b49a4d96e660cd383fd,"2025-07-23 20:55:47","2025-07-25 00:36:14","2025-07-26 16:22:51",27:40:27,"Shopee PH - CPS",-,"207074174229339 | 250725252J1M8Q",0.69,0.01,MP,Pending,,,6880dbd2cec3981bad663817,,,"Card Holder Clear Case for Realme Note 50 C11 C21y C35 C55 C67 C53 10 C15 C51 C12 C30s C2 C25 9i 9","Mobile & Gadgets","EXISTING | APP","900095564 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
538783616,fd28a303aaed4cb190080e15ea1ece31,"2025-07-24 17:01:27","2025-07-25 00:30:22","2025-07-25 16:49:01",07:28:55,"Shopee ID (Media Buyers) - CPS",-,"207073822272613 | 25072524R2D63H",1.49,0.02,MP,Pending,,,6881f66644b7d91bb301f26f,,,"Softlens Bening minus (-1.00 s/d -10.00) Magister Softlens 14 mm Softlens Minus Bening Clear 1pasang",Kesehatan,"EXISTING | APP","567574885 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539226021,fd16b45e0b4e42e2a2f634bc7be9a89a,"2025-07-19 20:28:42","2025-07-25 21:56:44","2025-07-26 16:01:40",145:28:02,"Shopee PH - CPS",-,"2753451803363736837 | 2753451803363736837",0.86,0.00,MP,Pending,,,687b8f78e5295c1bacf1d10f,,,Go59,TELCO,"EXISTING | APP","171986112 | SHOPEE_MALL_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539043476,fd08e6279c4e47ac8ceeb34ea9d18695,"2025-07-20 18:44:09","2025-07-25 16:18:10","2025-07-26 14:09:33",117:34:01,"Shopee ID (Media Buyers) - CPS",-,"207130689284278 | 2507253SPU0GAJ",4.42,0.06,MP,Pending,,,687cc879340bf51baf3b38b4,,,"BERRIES PANTS Popok Bayi Tipe Celana M34 | L30 | XL26","Ibu & Bayi","EXISTING | APP","38076091 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539238939,fcc38191cfe4403ea07e51c7a43978a8,"2025-07-23 15:18:59","2025-07-25 09:35:14","2025-07-26 16:17:49",42:16:15,"Shopee PH - CPS",-,"207106514252925 | 250725336BVXWD",1.23,0.01,MP,Pending,,,68808ce36b37bd1baa362de0,,,"6in1 correction tape school supplies",Stationery,"EXISTING | APP","135875285 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539238941,fcc38191cfe4403ea07e51c7a43978a8,"2025-07-23 15:18:59","2025-07-25 09:35:14","2025-07-26 16:17:49",42:16:15,"Shopee PH - CPS",-,"207106514252924 | 250725336BVXWC",0.26,0.00,MP,Pending,,,68808ce36b37bd1baa362de0,,,"Colored Expanded Envelope w/ Garter",Stationery,"EXISTING | APP","428890102 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539238947,fcc38191cfe4403ea07e51c7a43978a8,"2025-07-23 15:18:59","2025-07-25 09:35:14","2025-07-26 16:17:49",42:16:15,"Shopee PH - CPS",-,"207106514252924 | 250725336BVXWC",0.26,0.00,MP,Pending,,,68808ce36b37bd1baa362de0,,,"Colored Expanded Envelope w/ Garter",Stationery,"EXISTING | APP","428890102 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539238952,fcc38191cfe4403ea07e51c7a43978a8,"2025-07-23 15:18:59","2025-07-25 09:35:14","2025-07-26 16:17:50",42:16:15,"Shopee PH - CPS",-,"207106514252924 | 250725336BVXWC",0.26,0.00,MP,Pending,,,68808ce36b37bd1baa362de0,,,"Colored Expanded Envelope w/ Garter",Stationery,"EXISTING | APP","428890102 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539044873,fc464e27d8bb4597bdb01132aedb0e9b,"2025-07-22 19:34:33","2025-07-25 16:08:44","2025-07-26 14:10:20",68:34:11,"Shopee ID (Media Buyers) - CPS",-,"207130124240470 | 2507253S604Q15",3.18,0.04,MP,Pending,,,687f77496e73201bb0c1f035,,,"ASOKA Clair Shirt 336 - Kemeja Rayon Loose - Basic Shirt","Pakaian Wanita","EXISTING | APP","84278911 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539044877,fc464e27d8bb4597bdb01132aedb0e9b,"2025-07-22 19:34:33","2025-07-25 16:08:44","2025-07-26 14:10:21",68:34:11,"Shopee ID (Media Buyers) - CPS",-,"207130124240470 | 2507253S604Q15",4.50,0.06,MP,Pending,,,687f77496e73201bb0c1f035,,,"ASOKA Yuri Pants 3112 - Celana Kulot Wanita - Trouser High Waist - Loose Pants Front Pocket","Pakaian Wanita","EXISTING | APP","84278911 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
