"Conversion ID","Click ID","Click Date","Conversion Date","Recorded On","Click to Conversion Time",Advertiser,"Campaign Name","Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks,"Publisher Sub ID 2","Publisher Sub ID 3","Publisher Sub ID 4","Publisher Sub ID 5","Advertiser Sub ID 2","Advertiser Sub ID 3","Advertiser Sub ID 4","Advertiser Sub ID 5"
539755336,fffbdc1204f049eabc9bdc29992ba1c8,"2025-07-22 09:16:56","2025-07-26 21:54:44","2025-07-27 15:16:22",108:37:48,"Shopee PH - CPS",-,"207237284206877 | 2507266VYKU43M",2.31,0.03,MP,Pending,,,687ee6887c59261bb8685f43,,,"Hair Growth Soap Shampoo Ginseng Polygonum Soap Hair Grower Darkening Shampoo Bar",Beauty,"EXISTING | APP","911404353 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539765151,ff12b60caebb4965ae790dba34e0c45a,"2025-07-25 23:44:35","2025-07-26 08:23:33","2025-07-27 15:30:29",08:38:58,"Shopee PH - CPS",-,"207188613202471 | 2507265FN3J85R",3.88,0.05,MP,Pending,,,6883a6620371f93256b39c67,,,"KS Shoe Cleaner Set Premium KS Foam Sneakers Dry Cleaning Kit With Shoe Brush Towel Clean KSORIGINAL","Men Shoes","EXISTING | APP","295070844 | SHOPEE_MALL_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539765156,ff12b60caebb4965ae790dba34e0c45a,"2025-07-25 23:44:35","2025-07-26 08:23:33","2025-07-27 15:30:29",08:38:58,"Shopee PH - CPS",-,"207188613202471 | 2507265FN3J85R",2.80,0.04,MP,Pending,,,6883a6620371f93256b39c67,,,"KS Eraser Cleaning Suede Shoe Nubuck Buckskin Sneakers Restoration Raw Rubber Sole Shoes KSORIGINAL","Men Shoes","EXISTING | APP","295070844 | SHOPEE_MALL_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539761415,fedfa6aedae4450197b33754394a6973,"2025-07-25 20:12:07","2025-07-26 13:56:04","2025-07-27 15:25:20",17:43:57,"Shopee PH - CPS",-,"207208564291933 | 250726627PD4P7",1.57,0.02,MP,Pending,,,68837497bc08f53037a1958a,,,"Printed & Strapless bra W/ wire bra #ZHH38","Women Clothes","EXISTING | APP","1195230934 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539767374,fec41dcfc65340f2af18e94e94c536d5,"2025-07-25 15:46:55","2025-07-26 08:43:37","2025-07-27 15:33:32",16:56:42,"Shopee PH - CPS",-,"207189816236414 | 2507265GRXURY6",12.91,0.15,MP,Pending,,,6883366e5dcc983096314621,,,"Retractable Foldable Sampaya Stainless Wall Mounted Clothes Drying Rack Hanger stand Clothes Rack","Home & Living","EXISTING | APP","463034342 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539759138,fe23ffc040a24262bfb2f71498806d49,"2025-07-23 09:46:31","2025-07-26 18:08:50","2025-07-27 15:22:07",80:22:19,"Shopee PH - CPS",-,"207223729240169 | 2507266GBMTNHQ",3.31,0.04,MP,Pending,,,68803ef6180c4b1ba75e2fde,,,"GOOJODOQ Stylus Pen Universal 2 in 1 for Android Phone Tablet for iPad Touch Screen Pencil Capacitive Pen","Mobile & Gadgets","EXISTING | APP","1111187671 | SHOPEE_MALL_CB | ORDERED_IN_DIFFERENT_SHOP"
539635292,fe20f1fb86044c1fbccfb354b13643bc,"2025-07-21 13:55:09","2025-07-26 13:07:29","2025-07-27 14:13:15",119:12:20,"Shopee ID (Media Buyers) - CPS",-,"207205649268228 | 2507265YGTDJ15",1.37,0.02,MP,Pending,,,687dd63d6b37c61ba7d70970,,,"QEILA - MBK BEDAK KETIAK DAN KAKI BOX 12 PCS | VARIAN SILVER DAN PUTIH","Perawatan & Kecantikan","EXISTING | APP","293172767 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539756143,fdff8047b4bf4dae9b483169fdc07eb7,"2025-07-22 13:59:28","2025-07-26 23:18:12","2025-07-27 15:17:32",105:18:44,"Shopee PH - CPS",-,"207242292228479 | 25072671MUUWCR",15.72,0.19,MP,Pending,,,687f28bf38a2291bb25d0c95,,,"NEW MOON Hormo Balance Myo Inositol D Chiro Inositol 500mg with N Acetyl Cysteine FDA Approved",Health,"EXISTING | APP","1272258836 | SHOPEE_MALL_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539764402,fdc5a424034347f5804aadf932cf9f1b,"2025-07-22 18:44:16","2025-07-26 10:53:25","2025-07-27 15:29:27",88:09:09,"Shopee PH - CPS",-,"207197605218052 | 2507265R130MGQ",34.20,0.41,MP,Pending,,,687f6b7fce73071bb1752948,,,"NIDO 5+ Powdered Milk Drink for Pre-Schoolers Above 3 Years Old 2kg","Mom & Baby","EXISTING | APP","92328166 | SHOPEE_MALL_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539763437,fd6d237cc5474e1c85dcfe81b66acbd1,"2025-07-25 16:02:48","2025-07-26 13:00:50","2025-07-27 15:28:10",20:58:02,"Shopee PH - CPS",-,"207205249255708 | 2507265Y4VX84Y",3.24,0.04,MP,Pending,,,68833a260df97d3caeb8bc06,,,"Johnson's Milk+Oats Bath 500ml: baby body wash, head to toe wash, milk bath, kids bath soap","Mom & Baby","EXISTING | APP","29990515 | SHOPEE_MALL_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539763442,fd6d237cc5474e1c85dcfe81b66acbd1,"2025-07-25 16:02:48","2025-07-26 13:00:50","2025-07-27 15:28:10",20:58:02,"Shopee PH - CPS",-,"207205249255708 | 2507265Y4VX84Y",11.46,0.14,MP,Pending,,,68833a260df97d3caeb8bc06,,,"Johnson's Milk+Oats Bath 600ml Refill x 3 + FREE 200ml Refill","Mom & Baby","EXISTING | APP","29990515 | SHOPEE_MALL_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539755107,fbefd21167c843a8a495c123a87e6575,"2025-07-26 19:40:29","2025-07-26 21:15:29","2025-07-27 15:16:02",01:35:00,"Shopee PH - CPS",-,"207234929241035 | 2507266TSDYFG8",6.12,0.07,MP,Pending,,,6884beac6c24dd1b8e1d9aab,,,"25M/Roll Geometry Embroidered Jacquard Ribbon Ethnic Headwear Lace 5cm GARLAND LEI FOR production",Stationery,"EXISTING | APP","1192795161 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539755112,fbefd21167c843a8a495c123a87e6575,"2025-07-26 19:40:29","2025-07-26 21:15:29","2025-07-27 15:16:03",01:35:00,"Shopee PH - CPS",-,"207234929241034 | 2507266TSDYFG7",2.50,0.03,MP,Pending,,,6884beac6c24dd1b8e1d9aab,,,"100 pcs petals, ready to use for garland and flowers (4cm satin ribbon)",Stationery,"EXISTING | APP","119776464 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539755117,fbefd21167c843a8a495c123a87e6575,"2025-07-26 19:40:29","2025-07-26 21:15:29","2025-07-27 15:16:03",01:35:00,"Shopee PH - CPS",-,"207234929241033 | 2507266TSDYFG6",1.05,0.01,MP,Pending,,,6884beac6c24dd1b8e1d9aab,,,"25Yards/Roll 4cm ribbon wholesale, satin ribbon, decorative ribbon, gift packaging, Ribbons roll，DIY",Stationery,"EXISTING | APP","371381410 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539763311,fbd8cd70066a4ed4b11a914101f368cf,"2025-07-25 09:44:38","2025-07-26 10:25:16","2025-07-27 15:27:59",24:40:38,"Shopee PH - CPS",-,"207195916215083 | 2507265PER8922",1.49,0.01,MP,Pending,,,6882e186716af21bac30bb50,,,"Tung Tung Tung Sahur with Lamp and Sound Model Toys Tung Tung Sahur Funny Toys Collection","Hobbies & Collections","EXISTING | APP","310503257 | C2C_CB | ORDERED_IN_DIFFERENT_SHOP"
539763312,fbd8cd70066a4ed4b11a914101f368cf,"2025-07-25 09:44:38","2025-07-26 10:25:16","2025-07-27 15:27:59",24:40:38,"Shopee PH - CPS",-,"207195916215082 | 2507265PER8921",2.08,0.03,MP,Pending,,,6882e186716af21bac30bb50,,,"Korean High Waist Denim Skirt Women Fashion A-line Mini Skirt Jeans Skort for Women SIZE XS-2XL #75","Women Clothes","EXISTING | APP","134971227 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539759435,fb7a8a742dd94bcb873b36245cefcec1,"2025-07-25 23:37:46","2025-07-26 18:00:26","2025-07-27 15:22:35",18:22:40,"Shopee PH - CPS",-,"207223225288502 | 2507266FVM6WYX",2.15,0.03,MP,Pending,,,6883a4ca9c55a9388a34b981,,,"Plain Hoodie Jacket With Zipper / Unisex 5 Colors 1988","Men Clothes","EXISTING | APP","24035557 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539597224,fb21b21cd0514ca0abb3f3a93e46e978,"2025-07-25 23:19:04","2025-07-26 17:24:35","2025-07-27 13:50:03",18:05:31,"Shopee ID (Media Buyers) - CPS",-,"207221075218571 | 2507266DVHR87N",0.45,0.01,MP,Pending,,,6883a068093e6e3bee6a61b9,,,"Grosir Botol Minum 1 Liter /1000ml ""DREAM""","Perlengkapan Rumah","EXISTING | APP","1533455096 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539758695,fb07d5807b3f452e9ea05b921449a95c,"2025-07-26 16:49:17","2025-07-26 19:40:47","2025-07-27 15:21:25",02:51:30,"Shopee PH - CPS",-,"207229247248583 | 2507266NG36QT2",2.26,0.01,MP,Pending,,,6884968d1dfec01bb75b6eb5,,,"(COD) 9 Colors TWS Bluetooth Earphone i12 inPodTouch Earphones Key Wireless Headphone Earbuds Sports",Audio,"EXISTING | APP","220702792 | C2C_CB | ORDERED_IN_DIFFERENT_SHOP"
539762427,faf0a87377c34115a082705f1bff7a22,"2025-07-24 11:53:34","2025-07-26 12:27:43","2025-07-27 15:26:44",48:34:09,"Shopee PH - CPS",-,"207203262250631 | 2507265W9NYMBT",1.99,0.02,MP,Pending,,,6881ae3d6ee9e40bc78f0209,,,"【BUY 1 TAKE 2】300g Collagen Whitening Body Lotion Moisturizin Smooth Firming Skin Remove Melanin",Beauty,"EXISTING | APP","1044270095 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539761759,fa06c855f730460ab1683ec7ea815286,"2025-07-21 22:28:42","2025-07-26 13:33:19","2025-07-27 15:25:48",111:04:37,"Shopee PH - CPS",-,"207207199248681 | 25072660Y0K4BP",1.73,0.00,MP,Pending,,,687e4e9a85c0281bb1df3dad,,,"Santa Monica Pure Baking Soda 1kg - For Baking, Cleaning and Deodorizing","Food & Beverage","EXISTING | APP","418640010 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539765315,f9c1916523e947e68e9c5467d988f6af,"2025-07-22 08:56:52","2025-07-26 06:50:36","2025-07-27 15:30:40",93:53:44,"Shopee PH - CPS",-,"207183036245542 | 2507265AEVXRWN",6.56,0.08,MP,Pending,,,687ee1d3cdd6951b9c74b9fd,,,"MOTOSPH MOTORCYCLE SKYGO FRONT FENDER BLACK",Motorcycles,"EXISTING | APP","20611381 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539761260,f9133307728642f8b0b7eca0ec228d1f,"2025-07-23 06:02:29","2025-07-26 14:45:54","2025-07-27 15:25:08",80:43:25,"Shopee PH - CPS",-,"207211554200743 | 250726650SSVET",9.74,0.12,MP,Pending,,,68800a75e028f71bb3f973dc,,,"LUMI Vellum Board A3 | 230 200 180gsm | 10 20 40pcs | Specialty Artist Vellum Sheet (297mm x 420mm)",Stationery,"EXISTING | APP","316399774 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539761263,f9133307728642f8b0b7eca0ec228d1f,"2025-07-23 06:02:29","2025-07-26 14:45:54","2025-07-27 15:25:08",80:43:25,"Shopee PH - CPS",-,"207211554200743 | 250726650SSVET",9.74,0.12,MP,Pending,,,68800a75e028f71bb3f973dc,,,"LUMI Vellum Board A3 | 230 200 180gsm | 10 20 40pcs | Specialty Artist Vellum Sheet (297mm x 420mm)",Stationery,"EXISTING | APP","316399774 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539761266,f9133307728642f8b0b7eca0ec228d1f,"2025-07-23 06:02:29","2025-07-26 14:45:54","2025-07-27 15:25:08",80:43:25,"Shopee PH - CPS",-,"207211554200743 | 250726650SSVET",9.74,0.12,MP,Pending,,,68800a75e028f71bb3f973dc,,,"LUMI Vellum Board A3 | 230 200 180gsm | 10 20 40pcs | Specialty Artist Vellum Sheet (297mm x 420mm)",Stationery,"EXISTING | APP","316399774 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539763425,f8d6e2c88faa474f9fa8ecbe8bcbc6c6,"2025-07-26 10:24:25","2025-07-26 12:06:57","2025-07-27 15:28:09",01:42:32,"Shopee PH - CPS",-,"207202017261125 | 2507265V4JNNE3",1.56,0.02,MP,Pending,,,68843c595ed1b22e883d4eb5,,,"Case for OPPO A9 2020 A5 2020 phone case Shockproof 3D makeup mirror holder new bracelet soft case","Mobile & Gadgets","EXISTING | APP","1068998375 | C2C_CB | ORDERED_IN_DIFFERENT_SHOP"
539763739,f7750646284d41fbbb358246afc5f394,"2025-07-21 13:59:50","2025-07-26 12:53:09","2025-07-27 15:28:33",118:53:19,"Shopee PH - CPS",-,"207204788289194 | 2507265XQ5AM9T",0.37,0.00,MP,Pending,,,687dd7555a74f01ba4aff5b4,,,"DISPOSABLE SYRINGE FOR ANIMAL USE (BRAND MAY VARY)",Pets,"EXISTING | APP","1483138355 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
539763743,f7750646284d41fbbb358246afc5f394,"2025-07-21 13:59:50","2025-07-26 12:53:09","2025-07-27 15:28:33",118:53:19,"Shopee PH - CPS",-,"207204788289194 | 2507265XQ5AM9T",0.77,0.01,MP,Pending,,,687dd7555a74f01ba4aff5b4,,,"ARVET DEXTROSE POWDER (100G/300G/1KG)",Pets,"EXISTING | APP","1483138355 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
