"Conversion ID","Conversion Date","Recorded On",Advertiser,"Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks
540259097,"2025-07-27 23:58:25","2025-07-28 15:46:07","Shopee PH - CPS","207331104236549 | 2507279MBNKCXR",0.53,0.01,MP,Pending,
540259092,"2025-07-27 23:58:25","2025-07-28 15:46:07","Shopee PH - CPS","207331104236549 | 2507279MBNKCXR",0.26,0.00,MP,Pending,
540259320,"2025-07-27 23:52:00","2025-07-28 15:46:20","Shopee PH - CPS","207330720226851 | 2507279M07CB4T",1.01,0.01,MP,Pending,
540259398,"2025-07-27 23:51:14","2025-07-28 15:46:26","Shopee PH - CPS","207330674217410 | 2507279KXUG2H4",2.83,0.03,MP,Pending,
540259394,"2025-07-27 23:51:14","2025-07-28 15:46:25","Shopee PH - CPS","207330674217411 | 2507279KXUG2H5",2.52,0.03,MP,Pending,
540259575,"2025-07-27 23:44:28","2025-07-28 15:46:38","Shopee PH - CPS","207330268296975 | 2507279KJRCDPX",0.31,0.00,MP,Pending,
540259572,"2025-07-27 23:44:28","2025-07-28 15:46:38","Shopee PH - CPS","207330268296975 | 2507279KJRCDPX",0.31,0.00,MP,Pending,
540259569,"2025-07-27 23:44:28","2025-07-28 15:46:38","Shopee PH - CPS","207330268296975 | 2507279KJRCDPX",0.16,0.00,MP,Pending,
540259564,"2025-07-27 23:44:28","2025-07-28 15:46:38","Shopee PH - CPS","207330268296975 | 2507279KJRCDPX",0.23,0.00,MP,Pending,
540050910,"2025-07-27 23:40:21","2025-07-28 13:24:29","Shopee ID (Media Buyers) - CPS","207330021270342 | 2507279KBCT60P",7.82,0.11,MP,Pending,
540259831,"2025-07-27 23:33:31","2025-07-28 15:46:58","Shopee PH - CPS","207329611273011 | 2507279JY5SPHK",1.98,0.02,MP,Pending,
540260018,"2025-07-27 23:27:22","2025-07-28 15:47:13","Shopee PH - CPS","207329242245135 | 2507279JM5UVEK",0.45,0.01,MP,Pending,
540260012,"2025-07-27 23:27:22","2025-07-28 15:47:13","Shopee PH - CPS","207329242245136 | 2507279JM5UVEM",0.84,0.01,MP,Pending,
539953848,"2025-07-27 23:17:55","2025-07-28 01:37:49","TikTok Shop ID - CPS",579776629033960535,4.70,0.01,MP,Pending,
540260340,"2025-07-27 23:16:47","2025-07-28 15:47:45","Shopee PH - CPS","207328607277667 | 2507279J18AAP5",2.31,0.03,MP,Pending,
540260448,"2025-07-27 23:13:58","2025-07-28 15:47:56","Shopee PH - CPS","207328438273178 | 2507279HV74SMC",6.56,0.08,MP,Pending,
540260615,"2025-07-27 23:12:08","2025-07-28 15:48:14","Shopee PH - CPS","207328327264540 | 2507279HRW8UTH",3.44,0.04,MP,Pending,
540260612,"2025-07-27 23:12:08","2025-07-28 15:48:14","Shopee PH - CPS","207328327264540 | 2507279HRW8UTH",2.77,0.03,MP,Pending,
539954228,"2025-07-27 23:11:05","2025-07-28 01:38:17","TikTok Shop ID - CPS",579776568470177307,1.83,0.11,MP,Pending,
540260653,"2025-07-27 23:09:42","2025-07-28 15:48:17","Shopee PH - CPS","207328182215836 | 2507279HMJXA36",0.96,0.01,MP,Pending,
539954277,"2025-07-27 23:09:32","2025-07-28 01:38:18","TikTok Shop ID - CPS",579776566145418389,0.91,0.01,MP,Pending,
540260736,"2025-07-27 23:07:25","2025-07-28 15:48:24","Shopee PH - CPS","207328044266117 | 2507279HGFCHXQ",0.46,0.01,MP,Pending,
540260732,"2025-07-27 23:07:25","2025-07-28 15:48:24","Shopee PH - CPS","207328044266117 | 2507279HGFCHXQ",1.63,0.02,MP,Pending,
540260727,"2025-07-27 23:07:25","2025-07-28 15:48:24","Shopee PH - CPS","207328044266117 | 2507279HGFCHXQ",0.29,0.00,MP,Pending,
540260724,"2025-07-27 23:07:25","2025-07-28 15:48:23","Shopee PH - CPS","207328044266117 | 2507279HGFCHXQ",0.82,0.01,MP,Pending,
540260752,"2025-07-27 23:06:10","2025-07-28 15:48:26","Shopee PH - CPS","207327970278282 | 2507279HE8TGTW",1.66,0.02,MP,Pending,
540260779,"2025-07-27 23:05:13","2025-07-28 15:48:28","Shopee PH - CPS","207327913218406 | 2507279HCJD3TD",1.91,0.02,MP,Pending,
539954577,"2025-07-27 23:01:58","2025-07-28 01:38:34","TikTok Shop ID - CPS",579776502897936089,9.77,0.43,MP,Pending,
540260931,"2025-07-27 23:00:42","2025-07-28 15:48:42","Shopee PH - CPS","207327642234989 | 2507279H4FYFYP",1.68,0.02,MP,Pending,
540260927,"2025-07-27 23:00:42","2025-07-28 15:48:42","Shopee PH - CPS","207327642234989 | 2507279H4FYFYP",4.60,0.06,MP,Pending,
540260921,"2025-07-27 23:00:42","2025-07-28 15:48:41","Shopee PH - CPS","207327642234990 | 2507279H4FYFYQ",1.00,0.01,MP,Pending,
540260915,"2025-07-27 23:00:42","2025-07-28 15:48:41","Shopee PH - CPS","207327642234992 | 2507279H4FYFYS",0.68,0.01,MP,Pending,
540260914,"2025-07-27 23:00:42","2025-07-28 15:48:41","Shopee PH - CPS","207327642234991 | 2507279H4FYFYR",9.78,0.12,MP,Pending,
540260910,"2025-07-27 23:00:42","2025-07-28 15:48:40","Shopee PH - CPS","207327642234992 | 2507279H4FYFYS",0.82,0.01,MP,Pending,
540260906,"2025-07-27 23:00:42","2025-07-28 15:48:40","Shopee PH - CPS","207327642234993 | 2507279H4FYFYT",0.91,0.01,MP,Pending,
540260902,"2025-07-27 23:00:42","2025-07-28 15:48:40","Shopee PH - CPS","207327642234993 | 2507279H4FYFYT",0.79,0.01,MP,Pending,
540261109,"2025-07-27 22:56:19","2025-07-28 15:48:58","Shopee PH - CPS","207327378286246 | 2507279GVM8EWQ",2.20,0.03,MP,Pending,
540261127,"2025-07-27 22:56:05","2025-07-28 15:49:00","Shopee PH - CPS","207327364258551 | 2507279GV6V3GD",9.45,0.05,MP,Pending,
540261205,"2025-07-27 22:53:30","2025-07-28 15:49:08","Shopee PH - CPS","207327210290229 | 2507279GQM1RDM",1.85,0.02,MP,Pending,
540261521,"2025-07-27 22:48:59","2025-07-28 15:49:37","Shopee PH - CPS","207326940222670 | 2507279GFJFTB5",3.73,0.04,MP,Pending,
540261647,"2025-07-27 22:46:03","2025-07-28 15:49:50","Shopee PH - CPS","207326763233042 | 2507279GA9PNX3",0.00,0.00,MP,Pending,
540261643,"2025-07-27 22:46:03","2025-07-28 15:49:49","Shopee PH - CPS","207326763233042 | 2507279GA9PNX3",1.36,0.01,MP,Pending,
540183895,"2025-07-27 22:44:46","2025-07-28 14:52:50","Shopee PH - CPS","207326686262941 | 2507279G809GQN",9.17,0.12,MP,Pending,
540259347,"2025-07-27 22:43:37","2025-07-28 15:46:22","Shopee PH - CPS","207326617248882 | 2507279G5XF7NR",1.14,0.01,MP,Pending,
