"Conversion ID","Click Date","Conversion Date","Recorded On",Advertiser,"Campaign Name","Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks,"Publisher Sub ID 2","Publisher Sub ID 3","Publisher Sub ID 4","Advertiser Sub ID 2","Advertiser Sub ID 3","Advertiser Sub ID 4","Advertiser Sub ID 5"
546685696,,"2025-08-08 19:45:18","2025-08-08 21:34:44","TikTok Shop ID - CPS",-,579921819946616776,2.02,0.05,RAMPUP,Pending,,,,,1729569653638005874,"Sandal SLIP ON PRIA KARET TERBARU MERK FASHION / Sandal rumah bahan Eva / Sendal slop pria / Sandal slide pria 39 s/d 43 Shoes",1729569643276960882,"jackrepublic sby"
546691072,,"2025-08-08 19:09:45","2025-08-08 21:39:14","TikTok Shop ID - CPS",-,579921362211997196,0.67,0.01,RAMPUP,Pending,,,,,1729705059146892463,"REKAL AL-QURAN REHAL QURAN MEJA IQRO MOTIF KALIGRAFI BATIK MEJA BACA",1729705055759860911,YukBelanja168
546441217,,"2025-08-08 10:14:23","2025-08-08 15:43:42","TikTok Shop ID - CPS",-,579914862502577687,0.67,0.02,RAMPUP,Pending,,,,,1729616588489000161,"Sabun mandi cair isi ulang body wash  800ml  Soap",1729616588362384609,"SANARI OFFICIAL19"
546088193,,"2025-08-08 01:39:34","2025-08-08 03:01:23","TikTok Shop ID - CPS",-,579912096047597257,0.01,0.00,RAMPUP,Pending,,,,,1731721576693138976,"Palu kambing REAlM / palu batu / palu dengan gagang fiber anti selip / alat konstruksi pertukangan pemecah dinding penarik paku Palu kambing REAlM dengan gagang anti selip pemecah dinding penarik paku",1731720764626601504,"REAIM TEKNIK"
546715138,,"2025-08-08 15:44:09","2025-08-08 21:59:00","TikTok Shop ID - CPS",-,579919067358397833,0.83,0.01,RAMPUP,Pending,,,,,1729711452490925284,"Boni Pramuka Putri, Laken - Rajut",1729711444069090532,"Grosir Pramuka 86"
546444291,,"2025-08-08 08:58:23","2025-08-08 15:49:58","TikTok Shop ID - CPS",-,579914079618434093,0.58,0.01,RAMPUP,Pending,,,,,1731291630979417474,"[SSM] Penggaris Plastik Set Isi 4 Pcs / Penggaris Segitiga 4 In 1 Matematika Busur / Alat Tulis Sekolah Kantor Ruler Set",1731291630802666882,"Sehat Sejahtera Makmur"
546692611,,"2025-08-08 18:58:35","2025-08-08 21:40:33","TikTok Shop ID - CPS",-,579921216554370196,1.10,0.04,RAMPUP,Pending,,,,,1732035907167290523,"Promo minuman Likwit 30&60ml Sari buah BPOM Edisi 50:50 S4LT",1732035894678029467,SavageClothing.id
546228484,,"2025-08-08 06:10:04","2025-08-08 08:28:11","TikTok Shop ID - CPS",-,579912972089001191,0.64,0.01,RAMPUP,Pending,,,,,1730554020880418794,"Kodomo Shampoo Gel Strawberry Botol 200ml",1730554021771708394,"Watsons Indonesia"
546443269,,"2025-08-08 09:25:43","2025-08-08 15:47:44","TikTok Shop ID - CPS",-,579914370996012562,1.10,0.04,RAMPUP,Pending,,,,,1731211980801017094,"pikca/keripik kaca pikca pedas daun jeruk kemasan 500grm",1731164843822056710,"HASBI SANCK .ID"
546710277,,"2025-08-08 16:25:18","2025-08-08 21:55:15","TikTok Shop ID - CPS",-,579919548222833827,1.94,0.07,RAMPUP,Pending,,,,,1729465628086143234,"Karung beras 25 kg ukuran 45x75 transparan. Isi 25 lembar",1729465628086077698,"Anugerah Karung"
