"Conversion ID","Conversion Date","Recorded On",Advertiser,"Campaign Name","Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks,"Publisher Sub ID 2","Publisher Sub ID 3","Publisher Sub ID 4","Publisher Sub ID 5","Advertiser Sub ID 2","Advertiser Sub ID 3","Advertiser Sub ID 4","Advertiser Sub ID 5"
547515634,"2025-08-08 23:59:48","2025-08-10 04:42:43","Shopee ID (Media Buyers) - CPS",-,"208367987287089 | 250808APPV0TBA",3.80,0.05,MP,Pending,,,689275e6de2d2f1bc52b12ee,,,"(EGSUS) mukena anak | mukena bayi ruffle mukena baby size 3 bln -3 ½ tahun bahan adem ngpres elastis","Fashion Muslim","EXISTING | APP","75706200 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
547515933,"2025-08-08 23:59:17","2025-08-10 04:42:54","Shopee ID (Media Buyers) - CPS",-,"208367957295457 | 250808APNYDBK7",3.81,0.05,MP,Pending,,,6895787de7a9501bc283df34,,,"[AHLMN] DOMPET PRIA, pungsionalitas berpadu kemewahan dompet kulit asli model kartu cabut #dompet #dompetpria #dompetkulit #domp","Tas Pria","EXISTING | APP","122199238 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
547515929,"2025-08-08 23:59:17","2025-08-10 04:42:54","Shopee ID (Media Buyers) - CPS",-,"208367957295457 | 250808APNYDBK7",3.81,0.05,MP,Pending,,,6895787de7a9501bc283df34,,,"[AHLMN] DOMPET PRIA, pungsionalitas berpadu kemewahan dompet kulit asli model kartu cabut #dompet #dompetpria #dompetkulit #domp","Tas Pria","EXISTING | APP","122199238 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
547516255,"2025-08-08 23:58:38","2025-08-10 04:43:07","Shopee ID (Media Buyers) - CPS",-,"208367918230308 | 250808APMT5B9B",21.28,0.30,MP,Pending,,,68960e66534c545c8908c047,,,"COSRX Low pH Good Morning Cleanser - 150 ML (Sabun Wajah Untuk Semua Jenis Kulit) Best Seller","Perawatan & Kecantikan","EXISTING | APP","404429429 | SHOPEE_MALL_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
547516882,"2025-08-08 23:57:49","2025-08-10 04:43:31","Shopee ID (Media Buyers) - CPS",-,"208367869278142 | 250808APKBFEKF",3.03,0.04,MP,Pending,,,6896004b08206959e7289119,,,"Quadra Fikih untuk MI kelas 1-6 Kurikulum Merdeka","Buku & Majalah","EXISTING | APP","1411666841 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
547516949,"2025-08-08 23:57:47","2025-08-10 04:43:33","Shopee ID (Media Buyers) - CPS",-,"208367866287140 | 250808APK8M4P6",1.09,0.02,MP,Pending,,,6895e6ca7e57d9b183744d6a,,,"Lem Sealant / Lem kaca Aquarium Speed Bond - Lem Silikon Silen Akuarium","Perlengkapan Rumah","EXISTING | APP","991895748 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
547516946,"2025-08-08 23:57:47","2025-08-10 04:43:33","Shopee ID (Media Buyers) - CPS",-,"208367866287140 | 250808APK8M4P6",0.65,0.01,MP,Pending,,,6895e6ca7e57d9b183744d6a,,,"GROSIR 1BOX 10PCS Mata Bor Besi Mollar 1mm 1,5mm 2mm 2,5mm 3mm 3,5mm 4mm 4,5mm / HSS Drill Bit MOLLAR","Perlengkapan Rumah","EXISTING | APP","991895748 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
547516942,"2025-08-08 23:57:47","2025-08-10 04:43:33","Shopee ID (Media Buyers) - CPS",-,"208367866287140 | 250808APK8M4P6",0.74,0.01,MP,Pending,,,6895e6ca7e57d9b183744d6a,,,"GROSIR 1BOX 10PCS Mata Bor Besi Mollar 1mm 1,5mm 2mm 2,5mm 3mm 3,5mm 4mm 4,5mm / HSS Drill Bit MOLLAR","Perlengkapan Rumah","EXISTING | APP","991895748 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
547516939,"2025-08-08 23:57:47","2025-08-10 04:43:33","Shopee ID (Media Buyers) - CPS",-,"208367866287140 | 250808APK8M4P6",0.67,0.01,MP,Pending,,,6895e6ca7e57d9b183744d6a,,,"GROSIR 1BOX 10PCS Mata Bor Besi Mollar 1mm 1,5mm 2mm 2,5mm 3mm 3,5mm 4mm 4,5mm / HSS Drill Bit MOLLAR","Perlengkapan Rumah","EXISTING | APP","991895748 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
547516934,"2025-08-08 23:57:47","2025-08-10 04:43:33","Shopee ID (Media Buyers) - CPS",-,"208367866287140 | 250808APK8M4P6",1.44,0.02,MP,Pending,,,6895e6ca7e57d9b183744d6a,,,"Grendel SS Pintu Jendela Gerendel Kodai Selot Pintu 2"", 3"", 4"", 6"", 8"", 10"", 12""","Perlengkapan Rumah","EXISTING | APP","991895748 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
547516931,"2025-08-08 23:57:47","2025-08-10 04:43:33","Shopee ID (Media Buyers) - CPS",-,"208367866287140 | 250808APK8M4P6",1.11,0.02,MP,Pending,,,6895e6ca7e57d9b183744d6a,,,"Grendel SS Pintu Jendela Gerendel Kodai Selot Pintu 2"", 3"", 4"", 6"", 8"", 10"", 12""","Perlengkapan Rumah","EXISTING | APP","991895748 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
547517004,"2025-08-08 23:57:38","2025-08-10 04:43:36","Shopee ID (Media Buyers) - CPS",-,"208367859293725 | 250808APK1XSKW",6.20,0.09,MP,Pending,,,6895845d769be91bb69acb5c,,,"Lcd Oppo A5S / Oppo A7 / Oppo A11K / Oppo A12 / Realme 3 Fullset + Touchscreen","Handphone & Aksesoris","EXISTING | APP","270395627 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
547234911,"2025-08-08 23:57:22","2025-08-10 01:34:11","Shopee PH - CPS",-,"208367842200855 | 250808APJHN6UN",57.67,0.56,MP,Pending,,,689563320c96661c142229df,,,"KOORUI E2412F (Powered By Hkc) Monitor 23.8 Inch Office Monitor VA Panel FHD 1080P/Full HD 100HZ 6ms","Computers & Accessories","EXISTING | APP","632818010 | SHOPEE_MALL_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
547517583,"2025-08-08 23:56:57","2025-08-10 04:44:00","Shopee ID (Media Buyers) - CPS",-,"208367817210835 | 250808APHSTPW8",2.39,0.03,MP,Pending,,,6895a4d8e3c2ec1c392a4530,,,"Rok batik untuk Sd,smp,sma best seller","Fashion Bayi & Anak","EXISTING | APP","77225219 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
547517615,"2025-08-08 23:56:52","2025-08-10 04:44:02","Shopee ID (Media Buyers) - CPS",-,"208367812253330 | 250808APHN33CG",0.61,0.01,MP,Pending,,,68956a11d7f1951bc2d35800,,,"KAIN LAP MICROFIBER 30X30 & 30X40 - KAIN LAP KACA MOBIL 2 SISI HALUS [PERFECTHOME]","Perlengkapan Rumah","EXISTING | APP","384429601 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
547515576,"2025-08-08 23:56:37","2025-08-10 04:42:40","Shopee ID (Media Buyers) - CPS",-,"208367797298828 | 250808APH6TSMC",2.50,0.04,MP,Pending,,,6895f51c499d895afe838945,,,"Celana panjang ANAK USIA 2-17 TAHUN gambar api Skena bawahan baggy pria wanita pakaian berwarna hitam abu putih - Hitam Fire, S ","Fashion Bayi & Anak","EXISTING | APP","1110227621 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
