"Conversion ID","Conversion Date","Recorded On",Advertiser,"Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks
540777439,"2025-07-28 23:55:24","2025-07-29 15:50:24","Shopee PH - CPS","207417324279557 | 250728C4N7E2WW",1.21,0.01,MP,Pending,
540570635,"2025-07-28 23:46:16","2025-07-29 13:25:10","Shopee ID (Media Buyers) - CPS","207416776276229 | 250728C44VTCH1",0.67,0.01,MP,Pending,
540570633,"2025-07-28 23:46:16","2025-07-29 13:25:10","Shopee ID (Media Buyers) - CPS","207416776276230 | 250728C44VTCH2",0.94,0.01,MP,Pending,
540778148,"2025-07-28 23:36:13","2025-07-29 15:51:21","Shopee PH - CPS","207416173225654 | 250728C3JWPW6V",16.66,0.20,MP,Pending,
540778283,"2025-07-28 23:31:25","2025-07-29 15:51:35","Shopee PH - CPS","207415885243031 | 250728C3AB2AKB",4.18,0.04,MP,Pending,
540778463,"2025-07-28 23:26:49","2025-07-29 15:51:50","Shopee PH - CPS","207415608240303 | 250728C322W6MS",2.80,0.02,MP,Pending,
540778456,"2025-07-28 23:26:49","2025-07-29 15:51:49","Shopee PH - CPS","207415608240304 | 250728C322W6MT",1.75,0.02,MP,Pending,
540778609,"2025-07-28 23:24:19","2025-07-29 15:52:02","Shopee PH - CPS","207415459230560 | 250728C2WMSH58",3.67,0.04,MP,Pending,
540778941,"2025-07-28 23:13:39","2025-07-29 15:52:38","Shopee PH - CPS","207414818234994 | 250728C2AHFSAV",0.44,0.01,MP,Pending,
540778940,"2025-07-28 23:13:39","2025-07-29 15:52:38","Shopee PH - CPS","207414818234995 | 250728C2AHFSAW",0.44,0.01,MP,Pending,
540778936,"2025-07-28 23:13:39","2025-07-29 15:52:37","Shopee PH - CPS","207414818234995 | 250728C2AHFSAW",0.44,0.01,MP,Pending,
540778927,"2025-07-28 23:13:39","2025-07-29 15:52:37","Shopee PH - CPS","207414818234996 | 250728C2AHFSAX",0.79,0.01,MP,Pending,
540778921,"2025-07-28 23:13:39","2025-07-29 15:52:36","Shopee PH - CPS","207414818234997 | 250728C2AHFSAY",4.93,0.06,MP,Pending,
540779206,"2025-07-28 23:05:31","2025-07-29 15:53:05","Shopee PH - CPS","207414331218933 | 250728C1V11AST",1.73,0.02,MP,Pending,
540779252,"2025-07-28 23:05:02","2025-07-29 15:53:09","Shopee PH - CPS","207414302225211 | 250728C1U5CBSN",0.28,0.00,MP,Pending,
540751810,"2025-07-28 23:05:02","2025-07-29 15:30:13","Shopee PH - CPS","207414302225213 | 250728C1U5CBSQ",0.33,0.00,MP,Pending,
540779512,"2025-07-28 22:59:17","2025-07-29 15:53:38","Shopee PH - CPS","207413957237739 | 250728C1GVCC2W",4.93,0.06,MP,Pending,
540574843,"2025-07-28 22:55:18","2025-07-29 13:28:29","Shopee ID (Media Buyers) - CPS","207413718209212 | 250728C19RDHPC",1.23,0.02,MP,Pending,
540779724,"2025-07-28 22:55:17","2025-07-29 15:54:02","Shopee PH - CPS","207413716237290 | 250728C19PHNGC",2.24,0.03,MP,Pending,
540779849,"2025-07-28 22:53:04","2025-07-29 15:54:13","Shopee PH - CPS","207413583287290 | 250728C15QR3KW",5.51,0.05,MP,Pending,
540473733,"2025-07-28 22:53:02","2025-07-29 01:46:50","TikTok Shop ID - CPS",579788760842929854,0.46,0.00,MP,Pending,
540473732,"2025-07-28 22:53:02","2025-07-29 01:46:50","TikTok Shop ID - CPS",579788760842929854,0.40,0.00,MP,Pending,
540780020,"2025-07-28 22:49:09","2025-07-29 15:54:28","Shopee PH - CPS","207413348237278 | 250728C0XQJX3H",8.78,0.11,MP,Pending,
540780015,"2025-07-28 22:49:09","2025-07-29 15:54:28","Shopee PH - CPS","207413348237278 | 250728C0XQJX3H",8.50,0.10,MP,Pending,
540780011,"2025-07-28 22:49:09","2025-07-29 15:54:27","Shopee PH - CPS","207413348237278 | 250728C0XQJX3H",0.00,0.00,MP,Pending,
540780008,"2025-07-28 22:49:09","2025-07-29 15:54:27","Shopee PH - CPS","207413348237278 | 250728C0XQJX3H",0.00,0.00,MP,Pending,
540780003,"2025-07-28 22:49:09","2025-07-29 15:54:27","Shopee PH - CPS","207413348237278 | 250728C0XQJX3H",0.00,0.00,MP,Pending,
540780055,"2025-07-28 22:47:51","2025-07-29 15:54:32","Shopee PH - CPS","207413271221543 | 250728C0VE4VFY",2.19,0.03,MP,Pending,
540777658,"2025-07-28 22:46:17","2025-07-29 15:50:38","Shopee PH - CPS","207413177228080 | 250728C0SMGCMR",1.12,0.01,MP,Pending,
540777727,"2025-07-28 22:43:21","2025-07-29 15:50:43","Shopee PH - CPS","207413000266338 | 250728C0MBR015",20.79,0.25,MP,Pending,
540778062,"2025-07-28 22:38:13","2025-07-29 15:51:13","Shopee PH - CPS","207412693222214 | 250728C0B6WT6D",8.21,0.05,MP,Pending,
540577450,"2025-07-28 22:36:07","2025-07-29 13:30:49","Shopee ID (Media Buyers) - CPS","207412567207103 | 250728C07EQVJX",1.56,0.02,MP,Pending,
540778250,"2025-07-28 22:33:23","2025-07-29 15:51:32","Shopee PH - CPS","207412402257085 | 250728C02HDX9W",2.17,0.03,MP,Pending,
540778315,"2025-07-28 22:32:00","2025-07-29 15:51:38","Shopee PH - CPS","207412321212592 | 250728C0044UTV",0.00,0.00,MP,Pending,
540778309,"2025-07-28 22:32:00","2025-07-29 15:51:38","Shopee PH - CPS","207412321212592 | 250728C0044UTV",0.00,0.00,MP,Pending,
540778305,"2025-07-28 22:32:00","2025-07-29 15:51:38","Shopee PH - CPS","207412321212592 | 250728C0044UTV",2.61,0.03,MP,Pending,
540778300,"2025-07-28 22:32:00","2025-07-29 15:51:37","Shopee PH - CPS","207412321212592 | 250728C0044UTV",0.00,0.00,MP,Pending,
540778298,"2025-07-28 22:32:00","2025-07-29 15:51:37","Shopee PH - CPS","207412321212592 | 250728C0044UTV",0.00,0.00,MP,Pending,
540778294,"2025-07-28 22:32:00","2025-07-29 15:51:37","Shopee PH - CPS","207412321212592 | 250728C0044UTV",0.00,0.00,MP,Pending,
540778862,"2025-07-28 22:21:50","2025-07-29 15:52:29","Shopee PH - CPS","207411710274820 | 250728BYDWGKMR",0.02,0.00,MP,Pending,
540778910,"2025-07-28 22:21:05","2025-07-29 15:52:35","Shopee PH - CPS","207411664280997 | 250728BYCHMVNE",5.37,0.06,MP,Pending,
540778906,"2025-07-28 22:21:05","2025-07-29 15:52:35","Shopee PH - CPS","207411664280997 | 250728BYCHMVNE",5.39,0.06,MP,Pending,
540778901,"2025-07-28 22:21:05","2025-07-29 15:52:34","Shopee PH - CPS","207411664280997 | 250728BYCHMVNE",5.39,0.06,MP,Pending,
540778932,"2025-07-28 22:20:27","2025-07-29 15:52:37","Shopee PH - CPS","207411627247689 | 250728BYBEANYF",2.89,0.03,MP,Pending,
540778968,"2025-07-28 22:19:39","2025-07-29 15:52:40","Shopee PH - CPS","207411579248833 | 250728BYA0HPD5",1.49,0.02,MP,Pending,
540476087,"2025-07-28 22:18:26","2025-07-29 01:49:26","TikTok Shop ID - CPS",579788264524711592,2.38,0.06,MP,Pending,
540476137,"2025-07-28 22:17:06","2025-07-29 01:49:28","TikTok Shop ID - CPS",579788261411161719,0.42,0.01,MP,Pending,
540779210,"2025-07-28 22:14:04","2025-07-29 15:53:05","Shopee PH - CPS","207411245227632 | 250728BY020AYT",7.02,0.08,MP,Pending,
540779208,"2025-07-28 22:14:04","2025-07-29 15:53:05","Shopee PH - CPS","207411245227632 | 250728BY020AYT",7.16,0.09,MP,Pending,
540580817,"2025-07-28 22:12:27","2025-07-29 13:33:44","Shopee ID (Media Buyers) - CPS","207411147220068 | 250728BXW4HM8E",0.43,0.01,MP,Pending,
540779378,"2025-07-28 22:08:48","2025-07-29 15:53:24","Shopee PH - CPS","207410928232867 | 250728BXPKPGB0",0.59,0.01,MP,Pending,
540779464,"2025-07-28 22:07:10","2025-07-29 15:53:33","Shopee PH - CPS","207410830225577 | 250728BXKP7F9V",4.37,0.05,MP,Pending,
540779723,"2025-07-28 22:03:15","2025-07-29 15:54:02","Shopee PH - CPS","207410595214215 | 250728BXCP3NKJ",1.03,0.01,MP,Pending,
