"Conversion ID","Conversion Date","Recorded On",Advertiser,"Campaign Name","Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks,"Publisher Sub ID 2","Publisher Sub ID 3","Publisher Sub ID 4","Publisher Sub ID 5","Advertiser Sub ID 2","Advertiser Sub ID 3","Advertiser Sub ID 4","Advertiser Sub ID 5"
546286750,"2025-08-07 23:57:31","2025-08-08 09:46:06","Shopee PH - CPS",-,"208281451219052 | 250807863VSEUW",6.55,0.08,MP,Pending,,,6894930a40bb5f1d4c912503,,,"TRAVEL SIZE -IBB 50g by HER CHOICE PH",Beauty,"EXISTING | APP","167557673 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
546286748,"2025-08-07 23:57:31","2025-08-08 09:46:06","Shopee PH - CPS",-,"208281451219052 | 250807863VSEUW",5.06,0.06,MP,Pending,,,6894930a40bb5f1d4c912503,,,"PREMIUM TINTED SUNSHIELD SPF50 50G-Her Choice Ph",Beauty,"EXISTING | APP","167557673 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
546056405,"2025-08-07 23:54:10","2025-08-08 02:20:00","TikTok Shop ID - CPS",-,579911156525008690,0.30,0.00,MP,Pending,,,,,,1729628826913244604,"Sarung tangan plastik pelindung steril sekali pakai isi 100 pcs 50 pasang",1729628826913179068,sumobox.id
546056503,"2025-08-07 23:50:32","2025-08-08 02:20:03","TikTok Shop ID - CPS",-,579911097644320562,1.80,0.05,MP,Pending,,,,,,1729578403478669990,"1 BOX Susu ETAMILKU (10 Sachet) Susu Kambing Etawa Bubuk Plus Propolis Original",1729578403478604454,"HerbalIndonesia Store"
546287760,"2025-08-07 23:46:24","2025-08-08 09:46:53","Shopee PH - CPS",-,"208280784238400 | 25080785G0PUPU",1.73,0.02,MP,Pending,,,689495d0446b551ba78c98c3,,,"Large Capacity Nylon Cloth Print Waterproof Casual Shoulder Bag","Women Bags","EXISTING | APP","79554172 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
546056710,"2025-08-07 23:45:34","2025-08-08 02:20:17","TikTok Shop ID - CPS",-,579911067590624986,0.31,0.00,MP,Pending,,,,,,1730733526531933802,"1 renteng 18sachet Sedaap Bumbu kaldu bubuk ayam/sapi 9gr (12 gratis 6)",1730733515095246442,Yukade.shop
546056940,"2025-08-07 23:41:07","2025-08-08 02:20:32","TikTok Shop ID - CPS",-,579910978928477258,1.10,0.03,MP,Pending,,,,,,1729581166207273048,"IMPLORA LIP CREAM MATTE ORIGINAL BPOM - lipcream Lipstick Lipstik Berry Bibir Dark Kering Mauve Peach Brown Red lip cream  implora",1729581166206486616,"Make up Korea"
546288926,"2025-08-07 23:35:55","2025-08-08 09:47:49","Shopee PH - CPS",-,"208280155220530 | 25080784W8U235",2.25,0.03,MP,Pending,,,68949521ebd8e51c2bc0560d,,,"SACE LADY Lip Tint Long lasting Matte Finish Lipstick High Pigment Non-stick Cup Lip Makeup 2 Pcs",Beauty,"EXISTING | APP","111361174 | PREFERRED_CB | ORDERED_IN_DIFFERENT_SHOP"
546057186,"2025-08-07 23:35:23","2025-08-08 02:20:47","TikTok Shop ID - CPS",-,579910903122986997,0.72,0.02,MP,Pending,,,,,,1729808635979073437,"Gelang Serut Busur Zirkon Mengkilap Manis Wanita Gelang Perak Kristal Aesthetic Gelang Silver-coco_market",1729808630474770333,Coco.Market
546518913,"2025-08-07 23:34:04","2025-08-08 18:46:41","Shopee ID (Media Buyers) - CPS",-,"208280044275305 | 25080784SY12UU",8.80,0.12,MP,Pending,,,6890491cb22aa61bc2947808,,,"【Kirim Tas Gantung】Tas Sekolah Ins Wanita Besar  Korea Import  Serut Siswa Perempuan Volume Tinggi Tas Ransel Untuk Sekolah Lucu","Tas Wanita","EXISTING | APP","1029048467 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
546057402,"2025-08-07 23:30:46","2025-08-08 02:21:02","TikTok Shop ID - CPS",-,579910885292083088,0.60,0.01,MP,Pending,,,,,,1730174694180030394,"Eyeshine - Kacamata Hitam Cateye Titik Dua Sunglasses Full Frame Kacamata Anti Uv",1730174149647173562,Eyeshine
546289241,"2025-08-07 23:30:38","2025-08-08 09:48:04","Shopee PH - CPS",-,"208279838221839 | 25080784KTGXCF",2.74,0.04,MP,Pending,,,6894c5370c96661c1439700c,,,"Felt Insert Bag With Multi-pockets Fits Handbag Liner Bag Organizer Felt Bag Cosmetic Bag","Women Bags","EXISTING | APP","832817199 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
546289238,"2025-08-07 23:30:38","2025-08-08 09:48:04","Shopee PH - CPS",-,"208279838221839 | 25080784KTGXCF",2.64,0.03,MP,Pending,,,6894c5370c96661c1439700c,,,"Bag Organizer Tote Pouch Purse Organizer Insert Felt Bag Organizer Travel Makeup Bag Insert Handbag","Women Bags","EXISTING | APP","832817199 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
546057429,"2025-08-07 23:29:56","2025-08-08 02:21:03","TikTok Shop ID - CPS",-,579910886731384563,4.71,0.14,MP,Pending,,,,,,1729630057108571394,"O.TWO.O 2-in-1 Eyebrow  Color Locking  FLUFF SHAPING BROW WAX & BROW CREAM 3D Wild Eyebrows 65g",1729630018178483458,otwoo_id
546289708,"2025-08-07 23:25:28","2025-08-08 09:48:29","Shopee PH - CPS",-,"208279527250585 | 25080784AHXXP7",3.32,0.04,MP,Pending,,,6890c2532cacc71bba3fab29,,,"Abbyshi 2layer Siopao/Siomai Steamer Stainless Steel Cooking Pots","Home & Living","EXISTING | APP","25473099 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
546057666,"2025-08-07 23:24:28","2025-08-08 02:21:18","TikTok Shop ID - CPS",-,579910846926259813,1.22,0.09,MP,Pending,,,,,,1731818517456193501,"Poetry Paket Promo Bundling Sweet Aromatic Feminine Care Spray 3 Pcs Beli 1 Dapat 3 Variasi Rasa Formula Lembut Tanpa Alkohol",1731775425683228637,"TikTrend Market85"
546290057,"2025-08-07 23:22:50","2025-08-08 09:48:47","Shopee PH - CPS",-,"208279370204228 | 250807845V610W",8.08,0.10,MP,Pending,,,689040077e90601bb1dcf872,,,"QW 50pcs 10ml Decant Box Perfume packaging decant box 10ml box packaging",Stationery,"EXISTING | APP","58629377 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
546290055,"2025-08-07 23:22:50","2025-08-08 09:48:47","Shopee PH - CPS",-,"208279370204228 | 250807845V610W",3.35,0.04,MP,Pending,,,689040077e90601bb1dcf872,,,"QW 1pc 10ml Decant Box Perfume packaging decant box 10ml box packaging",Stationery,"EXISTING | APP","58629377 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
546290357,"2025-08-07 23:20:49","2025-08-08 09:49:02","Shopee PH - CPS",-,"208279249237889 | 2508078428TDVE",3.67,0.04,MP,Pending,,,68948a505fbf021baed0639b,,,"CDI socket 4pin for  Lifan110 TMX 125 CG125 XRM WAVE110",Motorcycles,"EXISTING | APP","549056946 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
546522218,"2025-08-07 23:18:01","2025-08-08 18:49:14","Shopee ID (Media Buyers) - CPS",-,"208279082223132 | 25080783W9HQ3G",4.91,0.07,MP,Pending,,,6892b8f44d08cb9948826b9f,,,"MAYBELLINE OFFICIAL Superstay Vinyl Ink 4.2 ml - Shiny Pigmented Liquid Lipstik Lipstick Make Up Lipcream Longlasting Waterproof","Perawatan & Kecantikan","EXISTING | APP","62582411 | SHOPEE_MALL_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
546524604,"2025-08-07 23:11:46","2025-08-08 18:51:05","Shopee ID (Media Buyers) - CPS",-,"208278706247635 | 25080783J2YQEY",7.98,0.11,MP,Pending,,,68909ca1b22aa61bc2c83b7e,,,"Dispenser Miyako WD-289 PHC Dispanser Air Panas Normal dan Dingin",Elektronik,"EXISTING | APP","137029247 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
546515668,"2025-08-07 23:09:44","2025-08-08 18:44:16","Shopee ID (Media Buyers) - CPS",-,"208278584225178 | 25080783EEKPYP",1.16,0.02,MP,Pending,,,6894ab0716f9dd1bb9416668,,,"Mata Kunci Shock impact Extra Panjang 130mm/ Kunci Shock Panjang 8/10mm 1/2"" Hex Socket Head Adapter","Perlengkapan Rumah","EXISTING | APP","1100005448 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
546291244,"2025-08-07 23:07:06","2025-08-08 09:49:45","Shopee PH - CPS",-,"208278426236942 | 250807839QXA55",0.89,0.01,MP,Pending,,,688c07bf5790c21ba03747b2,,,"Rock Star Bracelet Stainless Steel Music Note Beads Punk Leather Cord Unisex","Fashion Accessories","EXISTING | APP","196214868 | PREFERRED_CB | ORDERED_IN_DIFFERENT_SHOP"
546291316,"2025-08-07 23:06:17","2025-08-08 09:49:49","Shopee PH - CPS",-,"208278376249101 | 25080783888S3T",11.80,0.14,MP,Pending,,,6893fccb8d57dc1ba56e19f0,,,"Chocolate Melting Pot Mini Electric Cheese Pot Fondue Fountain For Dessert Bread Sandwich Donut DIY","Home Appliances","EXISTING | APP","800718343 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
546291721,"2025-08-07 23:02:32","2025-08-08 09:50:10","Shopee PH - CPS",-,"208278152200748 | 250807831JKQJC",0.21,0.00,MP,Pending,,,689353940902201d320c21ae,,,"【Luxe】6 Layer Faucet Filter 360 Degree Filter for Water Purifier Kitchen Purifier Water Purifier","Home & Living","EXISTING | APP","1253945224 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
546515676,"2025-08-07 23:00:52","2025-08-08 18:44:16","Shopee ID (Media Buyers) - CPS",-,"208278052273559 | 25080782XKA54U",2.92,0.04,MP,Pending,,,68913ec2eadcbf1c0a16e914,,,"Hakamitsu LED Downlight Inbow 5/7/9/12/15/18/24 Watt / Downlight Panel/Downlight Persegi","Perlengkapan Rumah","EXISTING | APP","43229082 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
