"Conversion ID","Click Date","Conversion Date","Recorded On",Advertiser,"Campaign Name","Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks,"Publisher Sub ID 2","Publisher Sub ID 3","Publisher Sub ID 4","Advertiser Sub ID 2","Advertiser Sub ID 3","Advertiser Sub ID 4","Advertiser Sub ID 5"
553980928,,"2025-08-20 18:59:42","2025-08-20 21:02:03","TikTok Shop ID - CPS",-,580065058960672345,0.97,0.07,OEM3_OPPO_PUSH,Pending,,,,,1732142963064866572,"Softcase Procamera Timbul For Oppo A5i/A5 PRO Casing Aesthetics Terbaru",1732142925699712780,karya.acc
553981696,,"2025-08-20 18:51:57","2025-08-20 21:02:40","TikTok Shop ID - CPS",-,580064992439535357,2.10,0.13,DL,Pending,,TTS,ID,OPPO,1729578233339742678,"1LUSIN GURITA TALI BAYI 6 PCS AMET BABY MURAH PERLENGKAPAN SNI TERMURAH TERLARIS Cewek Katun",1729578228001311190,hachi20
553523968,,"2025-08-20 02:15:21","2025-08-20 04:08:26","TikTok Shop ID - CPS",-,580057339994801805,2.44,0.09,OEM3_OPPO_PUSH,Pending,,,,,1729669231251851393,"KONICARE - Minyak Telon Konicare 125ml btl Bayi Perut Menghangatkan",1729669231251785857,"Onemed Medicom"
553524480,,"2025-08-20 01:25:37","2025-08-20 04:09:35","TikTok Shop ID - CPS",-,580057139186795928,0.49,0.02,OEM3_OPPO_PUSH,Pending,,,,,1731987843674178806,"CUCI GUDANG  Sandal Rajut  / Sandal Santai Nyaman Murah Anyaman Rajut Sandal Jepit",1730525055634670838,"ABS CENTRAL MARKET"
553525248,,"2025-08-20 00:35:58","2025-08-20 04:11:12","TikTok Shop ID - CPS",-,580056822498821797,0.68,0.02,RAMPUP,Pending,,,,,1729436205551618471,"(10 pcs) Tali Jemuran Nylon / Tambang",1729416107005938087,"Tokobahagia168 OFC"
553984512,,"2025-08-20 17:56:29","2025-08-20 21:06:56","TikTok Shop ID - CPS",-,580064383869748917,0.25,0.01,OEM3_OPPO_PUSH,Pending,,,,,1731361061996889480,"Anting tindik roda burble pria wanita model putar 1an",1731361029094540680,FERNANDO
553984768,,"2025-08-20 17:51:58","2025-08-20 21:07:12","TikTok Shop ID - CPS",-,580064349302195747,1.20,0.04,RAMPUP,Pending,,,,,1731982602382771474,"【10 pasang】Paket 10pasang kaos kaki pendek semata kaki pria dan wanita polos pergelangan kaki dewasa lembut Nyaman",1729585461235189010,"AMAYA TOKO"
553527296,,"2025-08-20 01:40:55","2025-08-20 04:15:22","TikTok Shop MY - CPS",-,580057209133171810,1.16,0.02,OEM3_OPPO_PUSH,Pending,,,,,1729576756693402695,"( READY STOCK ) 1537 WALLET SHORT ZIP PURSE LUXURY KOREA COIN FOLD  PU SLING BAG EU FASHION HOUSE",1729576756692878407,"EU FASHION HOUSE"
553986560,,"2025-08-20 17:09:55","2025-08-20 21:10:03","TikTok Shop ID - CPS",-,580063966509893002,0.11,0.01,DL,Pending,,TTS,ID,OPPO,1731959709435201460,"Ready Stock Kabel Data 3 in 1 100W Fastcharging USB Micro USB, Type C, Lightning Best Quality",1731959683271198644,"Sakti Depot Shop"
553528576,,"2025-08-20 00:33:53","2025-08-20 04:18:05","TikTok Shop MY - CPS",-,580056812248073406,3.58,0.13,OEM2_VIVO_PUSH,Pending,,,,,1729516708824188208,"Wireless Bluetooth Keyboard or Wireless Bluetooth Keyboard and Mouse Combo with Touchpad Computers & Office Equipment",1729516706107983152,"Boutique Shopping Store"
553924608,,"2025-08-20 16:02:45","2025-08-20 16:24:10","TikTok Shop MY - CPS",-,580063247026718029,4.09,0.14,OEM2_VIVO_PUSH,Pending,,,,,1730416924736586972,"Jersi Sublimasi Penuh, DinXMachine, Baju Sonic Malaysia, Untuk Lelaki dan Wanita Dewasa, Baju-T 3D, Rekaan Anime Kartun, Baju Lelaki Sport",1730416924736390364,"Anime T 14"
553990656,,"2025-08-20 16:01:10","2025-08-20 21:14:27","TikTok Shop ID - CPS",-,580063221110637616,3.51,0.07,FTK,Pending,,TTS,ID,OPPO,1729941355787946646,"Hooneybee Setelan Koko Anak Cowok Raihan Junior Size 2-10 Tahun Kurta Muslim Baju Katun Pendek",1729941331276171926,grosiranakkudua
553925376,,"2025-08-20 15:57:00","2025-08-20 16:24:38","TikTok Shop MY - CPS",-,580063181296010322,0.00,0.00,OEM2_VIVO_PUSH,Pending,,,,,1729685128243808927,"Kemeja POLO, Gaya Korea, Warna Polos, Label Wafel, Penutupan Zip, Lapel, Lengan Pendek, Trendi Lelaki, Longgar Bahu, Baju-T, Saiz M-2XL",1729685128243415711,onenjoy
553992192,,"2025-08-20 21:06:23","2025-08-20 21:22:12","TikTok Shop MY - CPS",-,580066517382825051,0.43,0.01,OEM3_OPPO_PUSH,Pending,,,,,1729577847032284170,"Kerongsang Gancu Selendang Sutera, Cincin Fesyen, Aksesori Hijab, Gancu Selendang, untuk Tudung",1729577847032153098,"Forward Forever"
553927168,,"2025-08-20 15:42:16","2025-08-20 16:25:52","TikTok Shop MY - CPS",-,580063031196943408,2.23,0.12,FTK,Pending,,TTS,MY,OPPO,1730950472632665716,"Cecair lilin cat kereta,sesuai untuk calar dan tanda calar ringan,mudah digilap,mengurankan kemunculan abrasi,serasi dengan cat sentuhan,ltem hebat untuk kanderaan anda",1730950339528722036,"Little Stone shop"
553994496,,"2025-08-20 20:43:43","2025-08-20 21:24:02","TikTok Shop MY - CPS",-,580066267183350972,13.22,0.46,OEM2_VIVO_PUSH,Pending,,,,,1731006937404507468,"Jam Tangan Lelaki, FOXBOX, Asli, LIGE, Analog dan Digital, Tali Silikon, Kalis Air, Jam Tangan Sukan, Chronograph, Pergerakan Kuarza, untuk Lelaki",1731006937404376396,BLAZAR
553929472,,"2025-08-20 15:25:18","2025-08-20 16:27:24","TikTok Shop MY - CPS",-,580062882031764483,3.05,0.05,OEM2_VIVO_PUSH,Pending,,,,,1730698728462059319,"Beg Pinggang Kalis Air Waterproof Material Waist Bag Chest Bag Sling Bag Lelaki Beg Sandang Crossbody Bag (WP-044)",1730698762219063095,FASHIONBAGINSIDE
