"Conversion ID","Conversion Date","Recorded On",Advertiser,"Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks
540568586,"2025-07-28 23:59:58","2025-07-29 13:23:27","Shopee ID (Media Buyers) - CPS","207417598290548 | 250728C4WCRKDC",21.23,0.30,OEM2_VIVO_SMS_2025072601,Pending,
540470372,"2025-07-28 23:59:56","2025-07-29 01:43:08","TikTok Shop ID - CPS",579789468794914512,3.30,0.10,OEM3_OPPO_PUSH,Pending,
540777340,"2025-07-28 23:59:55","2025-07-29 15:50:19","Shopee PH - CPS","207417594287979 | 250728C4W8X380",1.64,0.02,OEM2_VIVO_SMS_2025072801,Pending,
540777338,"2025-07-28 23:59:55","2025-07-29 15:50:19","Shopee PH - CPS","207417595240949 | 250728C4W9UMFH",0.87,0.01,OEM3_OPPO_PUSH,Pending,
540490298,"2025-07-28 23:59:55","2025-07-29 02:08:44","TikTok Shop MY - CPS",579789445704221808,5.21,0.11,OEM3_OPPO_PUSH,Pending,
540568594,"2025-07-28 23:59:54","2025-07-29 13:23:27","Shopee ID (Media Buyers) - CPS","207417594201354 | 250728C4W8UVN0",5.77,0.08,OEM2_VIVO_PUSH,Pending,
540490297,"2025-07-28 23:59:53","2025-07-29 02:08:44","TikTok Shop MY - CPS",579789437153019159,3.23,0.17,OEM3_OPPO_PUSH,Pending,
540568668,"2025-07-28 23:59:46","2025-07-29 13:23:32","Shopee ID (Media Buyers) - CPS","207417586294033 | 250728C4W1AG87",0.43,0.01,RAMPUP_RPIDCYA1IC,Pending,
540744421,"2025-07-28 23:59:41","2025-07-29 15:26:28","Shopee TH - CPS","207417581219651 | 250728C4VVFASG",0.68,0.01,OEM2_VIVO_SMS_2025072801,Pending,
540777343,"2025-07-28 23:59:39","2025-07-29 15:50:19","Shopee PH - CPS","207417579243976 | 250728C4VTK47H",13.46,0.16,OEM2_VIVO_SMS_2025072801,Pending,
540568732,"2025-07-28 23:59:38","2025-07-29 13:23:36","Shopee ID (Media Buyers) - CPS","207417578254334 | 250728C4VSN1N5",1.90,0.03,OEM3_OPPO_PUSH,Pending,
540568742,"2025-07-28 23:59:35","2025-07-29 13:23:36","Shopee ID (Media Buyers) - CPS","207417575253520 | 250728C4VPSKEP",2.05,0.03,RAMPUP_RPID455CDTP,Pending,
540490305,"2025-07-28 23:59:35","2025-07-29 02:08:44","TikTok Shop MY - CPS",579789445295867029,5.25,0.09,OEM3_OPPO_PUSH,Pending,
540490304,"2025-07-28 23:59:35","2025-07-29 02:08:44","TikTok Shop MY - CPS",579789445295867029,5.25,0.09,OEM3_OPPO_PUSH,Pending,
540568786,"2025-07-28 23:59:34","2025-07-29 13:23:39","Shopee ID (Media Buyers) - CPS","207417573283175 | 250728C4VMWE53",2.35,0.03,OEM2_VIVO_SMS_2025072601,Pending,
540568793,"2025-07-28 23:59:33","2025-07-29 13:23:39","Shopee ID (Media Buyers) - CPS","207417573239151 | 250728C4VMUQ9J",5.36,0.07,OEM2_VIVO_PUSH,Pending,
540823973,"2025-07-28 23:59:32","2025-07-29 16:40:48","Shopee VN - CPS","207417571266885 | 250728C4VJYJYT",1.42,0.05,OEM3_OPPO_PUSH,Pending,
540470378,"2025-07-28 23:59:32","2025-07-29 01:43:08","TikTok Shop ID - CPS",579789467810169953,1.40,0.01,OEM3_OPPO_PUSH,Pending,
540568834,"2025-07-28 23:59:29","2025-07-29 13:23:41","Shopee ID (Media Buyers) - CPS","207417569260242 | 250728C4VH2Q51",3.75,0.05,RAMPUP_RPID455BDTP,Pending,
540568831,"2025-07-28 23:59:29","2025-07-29 13:23:41","Shopee ID (Media Buyers) - CPS","207417569260242 | 250728C4VH2Q51",0.12,0.00,RAMPUP_RPID455BDTP,Pending,
540568863,"2025-07-28 23:59:26","2025-07-29 13:23:43","Shopee ID (Media Buyers) - CPS","207417566261436 | 250728C4VE789X",0.54,0.01,RAMPUP_RPIDCYA1IC,Pending,
540568861,"2025-07-28 23:59:26","2025-07-29 13:23:42","Shopee ID (Media Buyers) - CPS","207417566261436 | 250728C4VE789X",1.73,0.02,RAMPUP_RPIDCYA1IC,Pending,
540568857,"2025-07-28 23:59:26","2025-07-29 13:23:42","Shopee ID (Media Buyers) - CPS","207417566261436 | 250728C4VE789X",1.81,0.03,RAMPUP_RPIDCYA1IC,Pending,
540568851,"2025-07-28 23:59:26","2025-07-29 13:23:42","Shopee ID (Media Buyers) - CPS","207417566261436 | 250728C4VE789X",0.45,0.01,RAMPUP_RPIDCYA1IC,Pending,
540568846,"2025-07-28 23:59:26","2025-07-29 13:23:42","Shopee ID (Media Buyers) - CPS","207417566261436 | 250728C4VE789X",0.92,0.01,RAMPUP_RPIDCYA1IC,Pending,
540568848,"2025-07-28 23:59:25","2025-07-29 13:23:42","Shopee ID (Media Buyers) - CPS","207417565238702 | 250728C4VD7T9M",0.00,0.00,OEM2_VIVO_PUSH,Pending,
540470386,"2025-07-28 23:59:23","2025-07-29 01:43:08","TikTok Shop ID - CPS",579789466510197774,6.72,0.22,OEM2_VIVO_PUSH,Pending,
540744445,"2025-07-28 23:59:19","2025-07-29 15:26:29","Shopee TH - CPS","207417558254942 | 250728C4V6JQAF",3.83,0.03,OEM2_VIVO_SMS_2025072801,Pending,
540568870,"2025-07-28 23:59:17","2025-07-29 13:23:43","Shopee ID (Media Buyers) - CPS","207417557206413 | 250728C4V5JPTT",1.94,0.03,OEM2_VIVO_SMS_2025072801,Pending,
540568901,"2025-07-28 23:59:12","2025-07-29 13:23:44","Shopee ID (Media Buyers) - CPS","207417551252947 | 250728C4UYW52D",0.00,0.00,OEM3_OPPO_PUSH,Pending,
540568934,"2025-07-28 23:59:07","2025-07-29 13:23:46","Shopee ID (Media Buyers) - CPS","207417547203742 | 250728C4UV1HC0",2.31,0.03,OEM3_OPPO_PUSH,Pending,
540568929,"2025-07-28 23:59:07","2025-07-29 13:23:46","Shopee ID (Media Buyers) - CPS","207417547203742 | 250728C4UV1HC0",2.23,0.03,OEM3_OPPO_PUSH,Pending,
540568923,"2025-07-28 23:59:07","2025-07-29 13:23:45","Shopee ID (Media Buyers) - CPS","207417547203742 | 250728C4UV1HC0",2.31,0.03,OEM3_OPPO_PUSH,Pending,
540568919,"2025-07-28 23:59:07","2025-07-29 13:23:45","Shopee ID (Media Buyers) - CPS","207417547203742 | 250728C4UV1HC0",2.23,0.03,OEM3_OPPO_PUSH,Pending,
540568916,"2025-07-28 23:59:07","2025-07-29 13:23:45","Shopee ID (Media Buyers) - CPS","207417547203742 | 250728C4UV1HC0",2.23,0.03,OEM3_OPPO_PUSH,Pending,
540568904,"2025-07-28 23:59:07","2025-07-29 13:23:45","Shopee ID (Media Buyers) - CPS","207417547230189 | 250728C4UV2G5P",4.23,0.06,OEM3_OPPO_PUSH,Pending,
540760574,"2025-07-28 23:59:04","2025-07-29 15:34:49","Shopee MY - CPS","207417543244724 | 250728C4UR8FVG",1.21,0.01,OEM2_VIVO_PUSH,Pending,
