"Conversion ID","Click Date","Conversion Date","Recorded On",Advertiser,"Campaign Name","Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks,"Publisher Sub ID 2","Publisher Sub ID 3","Publisher Sub ID 4","Advertiser Sub ID 2","Advertiser Sub ID 3","Advertiser Sub ID 4","Advertiser Sub ID 5"
546312960,"2025-08-05 10:56:08","2025-08-07 20:12:14","2025-08-08 10:08:24","Shopee PH - CPS",-,"208267927261062 | 2508077SGUBAU1",1.14,0.01,DL_PH_VIVO_SMS_2025080701,Pending,,,,,"Watch for Kids Boys Ultraman Tiga Cero melody kuromi Cartoon Strap Watch Student Sanrio Watch Girls","Baby & Kids Fashion","EXISTING | APP","980781685 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
546316288,"2025-08-05 10:56:08","2025-08-07 19:58:28","2025-08-08 10:11:27","Shopee PH - CPS",-,"208267107233427 | 2508077RRD9YY7",37.33,0.45,DL_PH_VIVO_SMS_2025080701,Pending,,,,,"ECHO Solar Light Outdoor Sensor Lights Solar LED Floodlight Street Lamp Waterproof With remote","Home & Living","EXISTING | APP","1332921866 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
546305792,"2025-08-05 10:56:08","2025-08-07 20:57:47","2025-08-08 10:02:12","Shopee PH - CPS",-,"208270660269168 | 2508077V29QQHQ",0.40,0.00,DL_PH_VIVO_SMS_2025080701,Pending,,,,,"Bremod Hair Color Dye Milk Tea Ash 8.17 Basic 100 ml. (Black, Medium Brown, Blonde, Dust) BR-R301",Beauty,"EXISTING | APP","311294311 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
546312705,"2025-08-05 10:56:08","2025-08-07 20:14:31","2025-08-08 10:08:13","Shopee PH - CPS",-,"208268071200739 | 2508077SN4KXT1",2.08,0.02,DL_PH_VIVO_SMS_2025080701,Pending,,,,,"CAPIN 3CM Thick Cup Pure Cotton Push Up Bra for Women - Lingerie - Womenswear","Women Clothes","EXISTING | APP","309426370 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
546316289,"2025-08-05 10:56:08","2025-08-07 19:58:28","2025-08-08 10:11:27","Shopee PH - CPS",-,"208267107233427 | 2508077RRD9YY7",0.00,0.00,DL_PH_VIVO_SMS_2025080701,Pending,,,,,"【Free Gift】Product electronic warranty card--10 Year Warranty","Home & Living","EXISTING | APP","1332921866 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
546316545,"2025-08-05 10:56:08","2025-08-07 19:59:16","2025-08-08 10:11:39","Shopee PH - CPS",-,"208267156200092 | 2508077RSV0EJW",3.46,0.04,DL_PH_VIVO_SMS_2025080701,Pending,,,,,"50 Pcs Kid Mask 3D Cinnamon Mask Kid Duckbill Face Mask 3PLY Individual Package 3D Children Mask 4D High Quality Baby Duckbill D","Fashion Accessories","EXISTING | APP","1392583814 | PREFERRED_CB | ORDERED_IN_DIFFERENT_SHOP"
546291201,"2025-08-05 10:56:08","2025-08-07 23:13:18","2025-08-08 09:49:43","Shopee PH - CPS",-,"208278797250032 | 25080783MSS32E",0.66,0.01,DL_PH_VIVO_SMS_2025080701,Pending,,,,,"Two-Piece Eyebrow Trimmer Set, Including Curved Eyebrow Trimmer Scissors Pink",Beauty,"EXISTING | APP","196214868 | PREFERRED_CB | ORDERED_IN_DIFFERENT_SHOP"
546294273,"2025-08-05 10:56:08","2025-08-07 22:42:28","2025-08-08 09:52:40","Shopee PH - CPS",-,"208276947256892 | 25080781WNFFXC",1.10,0.01,DL_PH_VIVO_SMS_2025080701,Pending,,,,,"50-280cm Punch-free Adjustable Telescopic Rod Anti-slip Curtain Rod Stainless Steel Tension Rod","Home & Living","EXISTING | APP","762037787 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
546296833,"2025-08-05 10:56:08","2025-08-07 22:22:09","2025-08-08 09:54:54","Shopee PH - CPS",-,"208275729292815 | 25080780SBX84G",10.02,0.12,DL_PH_VIVO_SMS_2025080701,Pending,,,,,"KING OF DRAG FRONT SHOCK COVER ONLY FOR WAVE125 CLICK MIO RAIDER150",Motorcycles,"EXISTING | APP","771323223 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
546305793,"2025-08-05 10:56:08","2025-08-07 20:58:44","2025-08-08 10:02:12","Shopee PH - CPS",-,"208270717261105 | 2508077V40354K",36.91,0.00,DL_PH_VIVO_SMS_2025080701,Pending,,,,,"Bear Brand Fortified Powdered Milk Drink 2.4kg - Pack of 4","Food & Beverage","EXISTING | APP","76176908 | SHOPEE_MALL_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
546314498,"2025-08-05 10:56:08","2025-08-07 20:04:26","2025-08-08 10:09:45","Shopee PH - CPS",-,"208267466235902 | 2508077S33NJC1",0.58,0.01,DL_PH_VIVO_SMS_2025080701,Pending,,,,,"MAGNETO OIL SEAL XRM 110/C100/DREAM /TMX 155  MOTORCYCLE O'rings KIT",Motorcycles,"EXISTING | APP","250876495 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
546292738,"2025-08-05 10:56:08","2025-08-07 22:54:29","2025-08-08 09:51:11","Shopee PH - CPS",-,"208277669207344 | 25080782K5YRV2",1.64,0.02,DL_PH_VIVO_SMS_2025080701,Pending,,,,,"8.5mm Water Pipe Joints High-Pressure Brass Water Hose Connector Durable Pipe Extension Copper","Home & Living","EXISTING | APP","400410914 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
546294018,"2025-08-05 10:56:08","2025-08-07 22:44:29","2025-08-08 09:52:25","Shopee PH - CPS",-,"208277069289026 | 2508078219UE0D",2.08,0.02,DL_PH_VIVO_SMS_2025080701,Pending,,,,,"BROODER Heat LAMP Bulb 100 150 200 250 watts for animals",Pets,"EXISTING | APP","697142641 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
546297346,"2025-08-05 10:56:08","2025-08-07 22:06:22","2025-08-08 09:55:17","Shopee PH - CPS",-,"208274775260904 | 2508077YVX3QND",8.73,0.10,DL_PH_VIVO_SMS_2025080701,Pending,,,,,"Security Guard Polo White at Navy Blue","Men Clothes","EXISTING | APP","782469477 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
