"Conversion ID","Click Date","Conversion Date","Recorded On",Advertiser,"Campaign Name","Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks,"Publisher Sub ID 2","Publisher Sub ID 3","Publisher Sub ID 4","Publisher Sub ID 5","Advertiser Sub ID 2","Advertiser Sub ID 3","Advertiser Sub ID 4","Advertiser Sub ID 5"
549805168,"2025-08-12 22:18:28","2025-08-12 22:22:22","2025-08-13 10:31:51","Shopee PH - CPS",-,"208707742297252 | 250812MK4BMV2H",1.91,0.02,MP,Pending,,,689b4d33f772145dadf91053,,,"F9-5 TWS Bluetooth Earphone,sport headphone Waterproof Headset  Noise Cancelling Earbuds with Mic",Audio,"EXISTING | APP","103782379 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
549804148,"2025-08-12 21:54:51","2025-08-12 22:31:48","2025-08-13 10:30:33","Shopee PH - CPS",-,"208708308218663 | 250812MKN7B7M8",10.36,0.12,MP,Pending,,,689b47ab7ff5da64ce0e2255,,,"CQW.NO1 Rechargeable Digital price computing scale 1kg to 40kg","Home & Living","EXISTING | APP","442091905 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
549804788,"2025-08-12 21:28:20","2025-08-12 22:26:34","2025-08-13 10:31:23","Shopee PH - CPS",-,"208707994247392 | 250812MKBUWMVV",3.62,0.04,MP,Pending,,,689b4174fc57025da1da0d2a,,,"ZEKE Corduroy Long Pants Men's Plain Casual Trouser Straight Leg Baggy Pants For Men","Men Clothes","EXISTING | APP","1292050208 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
549807885,"2025-08-12 21:21:23","2025-08-12 21:31:12","2025-08-13 10:35:40","Shopee PH - CPS",-,"208704672205337 | 250812MG8US4WE",5.18,0.06,MP,Pending,,,689b3fd2131d4e44035108e2,,,"Luxe Organix Retinol + Gluta Youthful Radiance Whitening Serum Perfume Infused Body Wash1000g",Beauty,"EXISTING | APP","235005114 | SHOPEE_MALL_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
549803864,"2025-08-12 21:13:24","2025-08-12 22:35:39","2025-08-13 10:30:10","Shopee PH - CPS",-,"208708539257053 | 250812MKV3P41H",1.16,0.01,MP,Pending,,,689b3df42b393d628b84271f,,,"Stretchable Universal Chair Cover Elastic Antifouling Thick Dining Chair Seat Cushion Waterproof","Home & Living","EXISTING | APP","100257214 | PREFERRED_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
549808108,"2025-08-12 21:13:12","2025-08-12 21:28:59","2025-08-13 10:35:53","Shopee PH - CPS",-,"208704539250613 | 250812MG4VYNBY",1.49,0.02,MP,Pending,,,689b3de71dfec031e18760b0,,,"M1 Mini Wireless Bluetooth Speaker Dolby Atmosphere Subwoofer Speaker",Audio,"EXISTING | APP","1195230934 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
549807549,"2025-08-12 21:06:33","2025-08-12 21:34:23","2025-08-13 10:35:05","Shopee PH - CPS",-,"208704863228174 | 250812MGEHXH5E",1.02,0.01,MP,Pending,,,689b3c591d168af1237e9a27,,,"Daniel Caesar Album Print Waterproof Phototile Display Album Cover Sintra Board for cafes, store","Home & Living","EXISTING | APP","284564359 | C2C_NON_CB | ORDERED_IN_DIFFERENT_SHOP"
549807554,"2025-08-12 21:06:33","2025-08-12 21:34:23","2025-08-13 10:35:06","Shopee PH - CPS",-,"208704863228173 | 250812MGEHXH5D",14.71,0.18,MP,Pending,,,689b3c591d168af1237e9a27,,,"Billie Eilish Hit Me Hard And Soft, Happier Than Ever,When We All Fall Asleep Three Albums Set Original CD Album [Sealed] Brand ","Hobbies & Collections","EXISTING | APP","629717106 | C2C_CB | ORDERED_IN_DIFFERENT_SHOP"
549804439,"2025-08-12 20:53:51","2025-08-12 22:28:59","2025-08-13 10:30:57","Shopee PH - CPS",-,"208708139245532 | 250812MKG66RE5",2.66,0.03,MP,Pending,,,689b395fb92cc06500e0dd6e,,,"High Pressure 360 Degree Rotating Spray Gun Connect Hose Spray Sprinkler Spray Nozzle Adjustable Watering Garden Tool","Home & Living","EXISTING | APP","104555189 | PREFERRED_CB | ORDERED_IN_DIFFERENT_SHOP"
549807928,"2025-08-12 20:51:02","2025-08-12 21:13:30","2025-08-13 10:35:43","Shopee PH - CPS",-,"208703610230610 | 250812MF9706U0",3.05,0.04,MP,Pending,,,689b38b58400b4455093e458,,,"Ceyes Shift Knob Manual Aluminum Car Gear Shift Knob Shifter Lever Head for Car Auto Truck 9CM 13CM 18CM",Automobiles,"EXISTING | APP","785386645 | PREFERRED_CB | ORDERED_IN_DIFFERENT_SHOP"
549809364,"2025-08-12 20:47:39","2025-08-12 20:51:40","2025-08-13 10:37:12","Shopee PH - CPS",-,"208702300224754 | 250812ME25P31W",5.02,0.06,MP,Pending,,,689b37ebb92cc06500db5486,,,"Mic Microphone PC Laptop Computer USB Plug Clear Sound","Home & Living","EXISTING | APP","358143467 | C2C_CB | ORDERED_IN_DIFFERENT_SHOP"
