"Conversion ID","Conversion Date","Recorded On",Advertiser,"Campaign Name","Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks,"Publisher Sub ID 2","Publisher Sub ID 3","Publisher Sub ID 4","Publisher Sub ID 5","Advertiser Sub ID 2","Advertiser Sub ID 3","Advertiser Sub ID 4","Advertiser Sub ID 5"
546056243,"2025-08-07 23:56:31","2025-08-08 02:19:47","TikTok Shop ID - CPS",-,579911142566823476,2.38,0.08,RAMPUP,Pending,,,,,,1731773628298397421,"SPECIAL [SHARE IN JAR 10g] Polynia orange Berghtening & pomegranate Ravitaziling (masker rasa botox) Mencerahkan Wajah anti aging,pudarkan plek hitam dan bekas jerawat",1731773585516562157,DailyGlowUp01
546056595,"2025-08-07 23:50:22","2025-08-08 02:20:15","TikTok Shop ID - CPS",-,579911113316140668,2.08,0.01,RAMPUP,Pending,,,,,,1730610300635743603,"Garnier Pembersih Wajah Sakura dan Bright Complete 100ml dengan Niacinamide Bunga Facial Vitamin Perawatan Pencerah Muka Komedo Acid",1730610291837011315,rizqitarajajan
546056610,"2025-08-07 23:49:47","2025-08-08 02:20:15","TikTok Shop ID - CPS",-,579911076494411571,5.08,0.02,RAMPUP,Pending,,,,,,1730299520394233405,"Joyko Desk Set 360° Stationery Stand Table / Tempat Alat Tulis BISA DIPUTAR Meja DS-60",1730299496983791165,"Raja Stationery"
546056672,"2025-08-07 23:47:39","2025-08-08 02:20:16","TikTok Shop ID - CPS",-,579911018248700939,2.54,0.02,RAMPUP,Pending,,,,,,1731490684904047941,"Termos Air Tumbler Handle Botol BPA FREE Vacuum Insulated Stainless Steel Premium Quality 900ml",1731490205025994053,tosehoco
546056878,"2025-08-07 23:42:57","2025-08-08 02:20:31","TikTok Shop ID - CPS",-,579911010765801155,1.83,0.03,RAMPUP,Pending,,,,,,1729382368526107890,"[Official] PINKFLASH # OhMyself  Pengontrol Minyak Matte Loose Powder  Tahan air Oil Kontrol minyak Tahan sepanjang hari 3Colors PFF06 berminyak cover Hitam Wajah",1729382368524862706,"PINKFLASH STORE"
546057166,"2025-08-07 23:36:05","2025-08-08 02:20:47","TikTok Shop ID - CPS",-,579910943615845560,3.85,0.13,RAMPUP,Pending,,,,,,1731582627010413814,"[UNISEX] Celana Cargo Serut Pria Wanita Kulot Kargo Warna Cantik Kain Tebal Panjang Standar Hitam Kerja Nyaman Baggy Formal Stretch Karet",1729560111700804854,"Anggis Brand"
546057178,"2025-08-07 23:35:39","2025-08-08 02:20:47","TikTok Shop ID - CPS",-,579910905707726753,0.90,0.04,RAMPUP,Pending,,,,,,1730169593025103251,"Sandal Jepit Anak Bayi Perempuan Doraemon Cit Cit Empuk Kaki Cowok Cewek Laki-Laki Fashion Anak-Anak",1730169568437831059,"SANDAL BABY SHOES"
546057180,"2025-08-07 23:35:39","2025-08-08 02:20:47","TikTok Shop ID - CPS",-,579910905707726753,0.96,0.04,RAMPUP,Pending,,,,,,1731780128336872851,"Sandal Jepit Anak Laki Laki  Anomali Tung Tung Sahur Terbaru Fashion",1731777567899223443,"SANDAL BABY SHOES"
546057374,"2025-08-07 23:31:36","2025-08-08 02:21:01","TikTok Shop ID - CPS",-,579910871963699031,0.85,0.01,RAMPUP,Pending,,,,,,1731555289083119186,"PA5-6639 Lensa Photocromik,Kacamata antiradiasi,Kacamata Baca",1731555289082922578,"Aloy Alita Shop"
546057375,"2025-08-07 23:31:36","2025-08-08 02:21:01","TikTok Shop ID - CPS",-,579910871963699031,0.06,0.00,RAMPUP,Pending,,,,,,1729776843209803346,"ACS001 Lap Tebal Kacamata Import Glasses",1729572841993112146,"Aloy Alita Shop"
546057428,"2025-08-07 23:29:57","2025-08-08 02:21:03","TikTok Shop ID - CPS",-,579910807289431862,2.11,0.04,RAMPUP,Pending,,,,,,1730616149939422992,"Minyak Rambut Pria MEV’E – PROMO Buy 1 Get 1 Hair Liquid Oil Based | Kilau Tinggi, Kilap Tinggi, Wangi Maskulin, Tahan Seharian Pomade Spray Cowok Hitam",1730615903901812496,"MEV'E STORE"
546057571,"2025-08-07 23:27:25","2025-08-08 02:21:15","TikTok Shop ID - CPS",-,579910862719715109,1.28,0.02,RAMPUP,Pending,,,,,,1731542902834037792,"6 Pasang Kaos Kaki Putih Anak Sekolah SD SMP  Nyaman & Berkualitas untuk Aktivitas Sehari-hari JOUR",1731542910826742816,ChiyuId
546057573,"2025-08-07 23:27:25","2025-08-08 02:21:15","TikTok Shop ID - CPS",-,579910862719715109,1.68,0.03,RAMPUP,Pending,,,,,,1731801942982165536,"6 Pasang Kaos Kaki Putih Anak Sekolah SD SMP  Nyaman & Berkualitas untuk Aktivitas Sehari-hari JOUR",1731542910826742816,ChiyuId
546057764,"2025-08-07 23:23:42","2025-08-08 02:21:29","TikTok Shop ID - CPS",-,579910809440650452,0.70,0.02,RAMPUP,Pending,,,,,,1729589792902777826,"Finna Sambal Uleg Bawang (Jar)",1729589792902712290,"FINNA FOOD"
546057870,"2025-08-07 23:20:07","2025-08-08 02:21:32","TikTok Shop ID - CPS",-,579910784901481536,1.16,0.02,RAMPUP,Pending,,,,,,1731175913737782537,"Holycatlabs Royal Care Fish Oil Minyak Ikan Vitamin kucing dan Anjing 100 pcs",1731175872429065481,Qstore.pets
546057997,"2025-08-07 23:18:30","2025-08-08 02:21:44","TikTok Shop ID - CPS",-,579910717646144558,2.47,0.09,RAMPUP,Pending,,,,,,1731612511517836431,"Kotak Rkk Plus Slot Korek Desain Compact Anti Ribet with Lighter Slot",1731612488427078799,Chilzstore
546058048,"2025-08-07 23:16:49","2025-08-08 02:21:45","TikTok Shop ID - CPS",-,579910742260089952,0.93,0.02,RAMPUP,Pending,,,,,,1729709583771469116,"Jumpsuit Bayi Jumper Bayi BRIGHT STAR Baju Bayi Perempuan Laki Laki BCS-178 Jumper Bayi Baru Lahir 3-6 Bulan Jumper Jumpsuit Jumsuit Setelan Set Baju Bayi Baby Perempuan Laki Laki Cotton Lengan",1729709611450205500,"indo ultimate"
546058447,"2025-08-07 23:08:42","2025-08-08 02:22:13","TikTok Shop ID - CPS",-,579910553435342066,1.22,0.04,RAMPUP,Pending,,,,,,1731604417722615762,"hygiena calming pillow mist - Tidur nyenyak dengan Aroma Menenangkan",1729990890595584978,"MASK 14 STORE"
546058470,"2025-08-07 23:08:16","2025-08-08 02:22:13","TikTok Shop ID - CPS",-,579910608199649020,1.49,0.05,RAMPUP,Pending,,,,,,1730777638492013992,"[BLEACHING + SMOKEY LILAC] Sasha Bleaching 20gr + Hair Colorant Smokey Lilac 25gr | Cat Rambut Sasha Isi 2 pcs",1730777644695586216,"Sasha Hair Colorant"
546058758,"2025-08-07 23:02:14","2025-08-08 02:22:29","TikTok Shop ID - CPS",-,579910538937206272,3.66,0.13,RAMPUP,Pending,,,,,,1729718895201584677,"Bantal Leher Headrest Mobil Elegan dan Empuk untuk Avanza, Agya, Ayla - Termurah Aksesoris Car Leather Orange",1729719014599656997,"Salawe Cover"
546059132,"2025-08-07 22:56:30","2025-08-08 02:22:56","TikTok Shop ID - CPS",-,579910485749827260,1.16,0.08,RAMPUP,Pending,,,,,,1731671876244374949,"Case HP khusus untuk iPhone/OPPO/VIVO/Xiaomi/Redmi/Samsung/Infinix/Realme，dengan desain bintang dan tekstur sifon penuh layar, perlindungan lengkap anti jatuh, dilengkapi pelindung lensa bawaan.",1731671813039556005,"Evinl Case"
546059134,"2025-08-07 22:56:29","2025-08-08 02:22:56","TikTok Shop ID - CPS",-,579910455069541590,0.81,0.03,RAMPUP,Pending,,,,,,1729417019027786441,"TGI - SILICONE UTENSIL SPATULA / SPATULA SILICON / UTENSILE TURNER / SUTIL SILIKON TAHAN PANAS",1729417021264857801,"TOKO GROSIR INDONESIA"
546059178,"2025-08-07 22:55:14","2025-08-08 02:22:57","TikTok Shop ID - CPS",-,579910444531942601,0.29,0.01,RAMPUP,Pending,,,,,,1731005221468406847,"Cetakan Nasi Bola Bento Bulat Rice Shaker Alat Cetak Bentuk Nasi Bulat Gratis Centong Nasi",1731005284679386175,supertopshop8
546059239,"2025-08-07 22:53:43","2025-08-08 02:22:59","TikTok Shop ID - CPS",-,579910432216745920,22.64,0.12,RAMPUP,Pending,,,,,,1729436172562696777,"HELM GM FIGHTER MOTIF KEREN promo Kaca Motorcycle",1729384598735324745,"Banua helm"
546059442,"2025-08-07 22:50:03","2025-08-08 02:23:13","TikTok Shop ID - CPS",-,579910371330786529,0.40,0.00,RAMPUP,Pending,,,,,,1730855840290604544,"Acnes Soft Cotton – Kapas Pembersih Wajah Halus & Nyaman",1730855814609602048,"Glam On Me"
546059443,"2025-08-07 22:50:03","2025-08-08 02:23:13","TikTok Shop ID - CPS",-,579910371330786529,0.34,0.00,RAMPUP,Pending,,,,,,1730820445023864320,"Implora Eyebrow & Softbrow Pencil 2in1 - BPOM ️ - Pensil Alis Original dengan Serutan & Sikat",1730820410918209024,"Glam On Me"
546059444,"2025-08-07 22:50:03","2025-08-08 02:23:13","TikTok Shop ID - CPS",-,579910371330786529,0.43,0.00,RAMPUP,Pending,,,,,,1731940718169523712,"Viva Face Tonic 100ml Series – Penyegar Wajah untuk Semua Jenis Kulit",1731940708175480320,"Glam On Me"
546059445,"2025-08-07 22:50:03","2025-08-08 02:23:13","TikTok Shop ID - CPS",-,579910371330786529,0.58,0.00,RAMPUP,Pending,,,,,,1731937287574095360,"Viva Whitening Cream 15gr | 40gr - Memutihkan dan Mencerahkan Wajah",1731937145987892736,"Glam On Me"
546059587,"2025-08-07 22:48:22","2025-08-08 02:23:25","TikTok Shop ID - CPS",-,579910300425488375,0.92,0.02,RAMPUP,Pending,,,,,,1730874185921168926,"TaffSPORT Botol Minum Sepeda Olahraga Plastik BPA Free 730ml - 30A11",1730874185921103390,Waldani
546059622,"2025-08-07 22:47:37","2025-08-08 02:23:26","TikTok Shop ID - CPS",-,579910345760670783,1.54,0.01,RAMPUP,Pending,,,,,,1729575725254805648,"Plastik PP Klip Bening Tebal 90 Micron Zip Lock Zipper 500 gram Kemasan Snack 12x15 12x20 14x16 15x25 17x25 17x30 18x30 20x30 20x35 23x35 Bungkus Keripik Kacang Cemilan Kancing",1729422470750439568,"Mitra Plastik"
